1	0	3
2	0	4
3	0	5
4	0	6
5	1	3
6	1	4
7	1	5
8	1	6
9	2	3
10	2	4
11	2	5
12	2	6
13	3	3
14	3	4
15	3	5
16	3	6
17	4	3
18	4	4
19	4	5
20	4	6
21	5	3
22	5	4
23	5	5
24	5	6
25	6	3
26	6	4
27	6	5
28	6	6
29	7	3
30	7	4
31	7	5
32	7	6
33	8	3
34	8	4
35	8	5
36	8	6
37	9	3
38	9	4
39	9	5
40	9	6
41	10	3
42	10	4
43	10	5
44	10	6
45	11	3
46	11	4
47	11	5
48	11	6
A	3	2
B	4	2
C	5	2
D	6	2
E	7	2
F	8	2
G	9	2
H	10	2
I	11	2
J	7	1
K	8	1
L	9	1
M	10	1
N	11	1
P	9	0
R	10	0

