#Don't put as such on the web, use as private communication only!!
#authors of compilatio
# G. Lindstroem, IInd Inst. Exp. Phys., Univ. of Hamburg, Germany
#last update: 
#30-AprilA. Vasilescu, Appl. Nucl. Phys. Dpt., INPE, Bucharest, Romania
#      (Huhtinen, Summers)
#E_p [MeV] D/(95MeVmb)
1.275E+03 6.6211E-01
1.285E+03 6.6105E-01
1.295E+03 6.6000E-01
1.305E+03 6.6000E-01
1.315E+03 6.5895E-01
1.325E+03 6.5789E-01
1.335E+03 6.5684E-01
1.345E+03 6.5684E-01
1.355E+03 6.5579E-01
1.365E+03 6.5474E-01
1.375E+03 6.5474E-01
1.385E+03 6.5368E-01
1.395E+03 6.5263E-01
1.405E+03 6.5263E-01
1.415E+03 6.5158E-01
1.425E+03 6.5158E-01
1.435E+03 6.5053E-01
1.445E+03 6.4947E-01
1.455E+03 6.4947E-01
1.465E+03 6.4842E-01
1.475E+03 6.4737E-01
1.485E+03 6.4737E-01
1.495E+03 6.4632E-01
1.505E+03 6.4632E-01
1.515E+03 6.4526E-01
1.525E+03 6.4421E-01
1.535E+03 6.4421E-01
1.545E+03 6.4316E-01
1.555E+03 6.4316E-01
1.565E+03 6.4211E-01
1.575E+03 6.4105E-01
1.585E+03 6.4105E-01
1.595E+03 6.4000E-01
1.605E+03 6.3895E-01
1.615E+03 6.3895E-01
1.625E+03 6.3789E-01
1.635E+03 6.3789E-01
1.645E+03 6.3684E-01
1.655E+03 6.3579E-01
1.665E+03 6.3579E-01
1.675E+03 6.3474E-01
1.685E+03 6.3474E-01
1.695E+03 6.3368E-01
1.705E+03 6.3263E-01
1.715E+03 6.3263E-01
1.725E+03 6.3158E-01
1.735E+03 6.3158E-01
1.745E+03 6.3053E-01
1.755E+03 6.2947E-01
1.765E+03 6.2947E-01
1.775E+03 6.2842E-01
1.785E+03 6.2842E-01
1.795E+03 6.2842E-01
1.805E+03 6.2737E-01
1.815E+03 6.2737E-01
1.825E+03 6.2632E-01
1.835E+03 6.2632E-01
1.845E+03 6.2526E-01
1.855E+03 6.2526E-01
1.865E+03 6.2421E-01
1.875E+03 6.2421E-01
1.885E+03 6.2316E-01
1.895E+03 6.2316E-01
1.905E+03 6.2211E-01
1.915E+03 6.2211E-01
1.925E+03 6.2105E-01
1.935E+03 6.2105E-01
1.945E+03 6.2105E-01
1.955E+03 6.2000E-01
1.965E+03 6.2000E-01
1.975E+03 6.1895E-01
1.985E+03 6.1895E-01
1.995E+03 6.1789E-01
2.005E+03 6.1789E-01
2.015E+03 6.1684E-01
2.025E+03 6.1684E-01
