#Don't put as such on the web! this is private communication only!!
#source of compilatio
#G. Lindstroem, IInd Inst. Exp. Phys., Univ. of Hamburg, Germany
#last update: 
#30-ApriA. Vasilescu, Appl. Nucl. Phys. Dpt., INPE, Bucharest, Romania
#
#Ekin [MeV]D/95MeVmb
 2.045E+03 4.768E-01
 2.055E+03 4.768E-01
 2.065E+03 4.768E-01
 2.075E+03 4.758E-01
 2.085E+03 4.758E-01
 2.095E+03 4.758E-01
 2.105E+03 4.747E-01
 2.115E+03 4.747E-01
 2.125E+03 4.747E-01
 2.135E+03 4.747E-01
 2.145E+03 4.737E-01
 2.155E+03 4.737E-01
 2.165E+03 4.737E-01
 2.175E+03 4.726E-01
 2.185E+03 4.726E-01
 2.195E+03 4.726E-01
 2.205E+03 4.716E-01
 2.215E+03 4.716E-01
 2.225E+03 4.716E-01
 2.235E+03 4.716E-01
 2.245E+03 4.705E-01
 2.255E+03 4.705E-01
 2.265E+03 4.705E-01
 2.275E+03 4.695E-01
 2.285E+03 4.695E-01
 2.295E+03 4.695E-01
 2.305E+03 4.695E-01
 2.315E+03 4.695E-01
 2.325E+03 4.695E-01
 2.335E+03 4.695E-01
 2.345E+03 4.695E-01
 2.355E+03 4.695E-01
 2.365E+03 4.695E-01
 2.375E+03 4.695E-01
 2.385E+03 4.695E-01
 2.395E+03 4.695E-01
 2.405E+03 4.695E-01
 2.415E+03 4.695E-01
 2.425E+03 4.695E-01
 2.435E+03 4.684E-01
 2.445E+03 4.684E-01
 2.455E+03 4.684E-01
 2.465E+03 4.684E-01
 2.475E+03 4.684E-01
 2.485E+03 4.684E-01
 2.495E+03 4.684E-01
 2.505E+03 4.684E-01
 2.515E+03 4.674E-01
 2.525E+03 4.674E-01
 2.535E+03 4.674E-01
 2.545E+03 4.674E-01
 2.555E+03 4.674E-01
 2.565E+03 4.674E-01
 2.575E+03 4.674E-01
 2.585E+03 4.663E-01
 2.595E+03 4.663E-01
 2.605E+03 4.663E-01
 2.615E+03 4.663E-01
 2.625E+03 4.663E-01
 2.635E+03 4.663E-01
 2.645E+03 4.663E-01
 2.655E+03 4.663E-01
 2.665E+03 4.653E-01
 2.675E+03 4.653E-01
 2.685E+03 4.653E-01
 2.695E+03 4.653E-01
 2.705E+03 4.653E-01
 2.715E+03 4.653E-01
 2.725E+03 4.653E-01
 2.735E+03 4.642E-01
 2.745E+03 4.642E-01
