> Title:
PHOS MODULE # 2 - CALIBRATION and DEFORMATION MEASUREMENT BY DIGITAL PHOTOGRAMMETRY
> Date:
11/09/2006
> Subdetector:
PHOS
> Report URL:
https://edms.cern.ch/document/772860
> Version:
1
> General Observations:
Measurement of the 08/09/2006 is with prefix T1_
Measurement of the 11/09/2006 is with prefix T2_
Point Types: M(easured),T(ransformed), R(eference)
> Coordinate System:
LOCAL
> Units:
mm
> Nr Columns:
7
> Column Names:
Point Name,XLOCAL,YLOCAL,ZLOCAL,Point Type,Target Used,Precision(mm)
T2_5002,1435.42,154.94,1292.98,R,Y,0.08
T2_5003,-12.9,155.48,1294.49,R,Y,0.08
T2_10000,1.48,-0.47,-0.45,M,Y,0.08
T2_10001,0.68,-0.81,45.32,M,Y,0.08
T2_10002,2.02,-0.63,91.07,M,Y,0.08
T2_10003,1.07,-0.62,136.65,M,Y,0.08
T2_10004,1.8,-0.5,182.09,M,Y,0.08
T2_10005,1.97,-0.63,226.86,M,Y,0.08
T2_10006,1.59,-0.43,272.59,M,Y,0.08
T2_10007,1.63,-0.41,318.14,M,Y,0.08
T2_10008,1.55,-0.62,363.55,M,Y,0.08
T2_10009,1.49,0.1,408.99,M,Y,0.08
T2_10010,2,-0.1,454.1,M,Y,0.08
T2_10011,0.36,-0.25,499.38,M,Y,0.08
T2_10012,1.85,-0.01,545.47,M,Y,0.08
T2_10013,0.97,0.03,590.86,M,Y,0.08
T2_10014,1.42,0.26,636.15,M,Y,0.08
T2_10015,0.53,-0.17,681.29,M,Y,0.08
T2_10016,0.81,0.02,726.88,M,Y,0.08
T2_10017,1.45,0.16,772.36,M,Y,0.08
T2_10018,1.45,-0.16,817.28,M,Y,0.08
T2_10019,0.96,0.17,864.04,M,Y,0.08
T2_10020,0.41,0.13,909.71,M,Y,0.08
T2_10021,0.23,0.41,954.41,M,Y,0.08
T2_10022,0.16,-0.27,999.92,M,Y,0.08
T2_10023,-0.01,0.08,1044.79,M,Y,0.08
T2_10024,1.73,0.14,1090.57,M,Y,0.08
T2_10025,1.55,0.24,1136.41,M,Y,0.08
T2_10026,1.71,-0.1,1182.4,M,Y,0.08
T2_10027,0.88,0.32,1228.63,M,Y,0.08
T2_11000,160.06,-0.51,21.77,M,Y,0.08
T2_11001,159.75,-0.58,67.32,M,Y,0.08
T2_11002,160.25,0.16,112.57,M,Y,0.08
T2_11003,159.35,0.59,157.78,M,Y,0.08
T2_11004,160.36,0.48,203.01,M,Y,0.08
T2_11005,159.58,-0.39,248.68,M,Y,0.08
T2_11006,159.73,-0.19,293.68,M,Y,0.08
T2_11007,160.03,0.03,339.86,M,Y,0.08
T2_11008,160.01,-0.2,385.36,M,Y,0.08
T2_11009,159.77,0.42,431.06,M,Y,0.08
T2_11010,160.74,-0.04,476.42,M,Y,0.08
T2_11011,158.89,-0.23,521.58,M,Y,0.08
T2_11012,160.38,-0.09,566.94,M,Y,0.08
T2_11013,159.64,0.46,612.99,M,Y,0.08
T2_11014,160.15,-0.21,657.82,M,Y,0.08
T2_11015,158.83,0.02,703.24,M,Y,0.08
T2_11016,159.26,-0.12,748.14,M,Y,0.08
T2_11017,160.36,0.25,793.52,M,Y,0.08
T2_11018,159.41,0.22,839.44,M,Y,0.08
T2_11019,159.94,0.04,886.03,M,Y,0.08
T2_11020,158.79,0.22,931.46,M,Y,0.08
T2_11021,158.93,0.23,976.64,M,Y,0.08
T2_11022,158.66,0.14,1021.76,M,Y,0.08
T2_11023,159.25,-0.32,1067.3,M,Y,0.08
T2_11024,159.45,0.07,1112.52,M,Y,0.08
T2_11025,159.23,-0.14,1158.68,M,Y,0.08
T2_11026,159.92,0.1,1204.48,M,Y,0.08
T2_11027,159.65,-0.06,1249.95,M,Y,0.08
T2_12000,182.78,-0.37,-0.34,M,Y,0.08
T2_12001,183.1,-0.54,45.29,M,Y,0.08
T2_12002,182.61,-0.07,90.16,M,Y,0.08
T2_12003,181.97,0.18,135.84,M,Y,0.08
T2_12004,183.31,0.43,182.15,M,Y,0.08
T2_12005,182.99,-0.19,227.41,M,Y,0.08
T2_12006,181.65,-0.1,273.04,M,Y,0.08
T2_12007,182.48,0.13,318.41,M,Y,0.08
T2_12008,182.63,0.1,363.55,M,Y,0.08
T2_12009,182.62,0.37,409.33,M,Y,0.08
T2_12010,183.79,0.21,455.16,M,Y,0.08
T2_12011,182.88,0.15,500.76,M,Y,0.08
T2_12012,183.28,0.13,546.24,M,Y,0.08
T2_12013,182.04,0.07,591.62,M,Y,0.08
T2_12014,182.58,0.1,637.07,M,Y,0.08
T2_12015,182.54,0.27,683.05,M,Y,0.08
T2_12016,182.11,0.17,728.18,M,Y,0.08
T2_12017,182.5,1.14,773.58,M,Y,0.08
T2_12018,181.35,0.27,818.85,M,Y,0.08
T2_12019,182.02,0.07,864.94,M,Y,0.08
T2_12020,181.9,-0.17,910.42,M,Y,0.08
T2_12021,181.59,0.63,955.59,M,Y,0.08
T2_12022,181.49,0,1000.83,M,Y,0.08
T2_12023,182.2,0.25,1046.11,M,Y,0.08
T2_12024,181.74,0.85,1091.63,M,Y,0.08
T2_12025,181.49,0.18,1136.76,M,Y,0.08
T2_12026,181.87,0.35,1182.77,M,Y,0.08
T2_12027,182.29,0.62,1228.79,M,Y,0.08
T2_13000,340.8,-0.42,22.29,M,Y,0.08
T2_13001,341.6,-0.32,67.8,M,Y,0.08
T2_13002,340.55,0.15,113.57,M,Y,0.08
T2_13003,340.48,-0.27,158.69,M,Y,0.08
T2_13004,340.97,0.16,204.85,M,Y,0.08
T2_13005,341.42,0.07,250.31,M,Y,0.08
T2_13006,341.1,-0.01,295.44,M,Y,0.08
T2_13007,340.4,0.05,341.19,M,Y,0.08
T2_13008,340.24,-0.18,386.46,M,Y,0.08
T2_13009,340.18,0.05,431.82,M,Y,0.08
T2_13010,341.78,0.25,477.82,M,Y,0.08
T2_13011,341.07,0.14,523.46,M,Y,0.08
T2_13012,340.9,-0.27,568.08,M,Y,0.08
T2_13013,341.15,-0.29,613.92,M,Y,0.08
T2_13014,341.29,0.06,659.08,M,Y,0.08
T2_13015,340.78,0.24,704.32,M,Y,0.08
T2_13016,340.13,1.25,749.72,M,Y,0.08
T2_13017,340.6,-0.07,795.75,M,Y,0.08
T2_13018,339.93,-0.03,841.24,M,Y,0.08
T2_13019,340.79,0.02,886.54,M,Y,0.08
T2_13020,340.66,0.34,931.91,M,Y,0.08
T2_13021,340.3,0.33,977.35,M,Y,0.08
T2_13022,339.77,0.18,1022.9,M,Y,0.08
T2_13023,340.1,0.19,1068.41,M,Y,0.08
T2_13024,340.78,-0.07,1114.09,M,Y,0.08
T2_13025,339.51,0.1,1159.61,M,Y,0.08
T2_13026,340.08,-0.24,1205.46,M,Y,0.08
T2_13027,339.64,-0.16,1251.35,M,Y,0.08
T2_14000,363.73,-0.44,-1,M,Y,0.08
T2_14001,363.74,0.14,44.24,M,Y,0.08
T2_14002,364.39,0.47,90.22,M,Y,0.08
T2_14003,363.17,-0.22,136.33,M,Y,0.08
T2_14004,362.86,-0.35,181.88,M,Y,0.08
T2_14005,363.75,-0.03,227.88,M,Y,0.08
T2_14006,363.95,-0.52,273.09,M,Y,0.08
T2_14007,363.06,0.07,318.72,M,Y,0.08
T2_14008,363.46,0.26,364,M,Y,0.08
T2_14009,362.75,-0.1,409.35,M,Y,0.08
T2_14010,364.13,-0.1,454.56,M,Y,0.08
T2_14011,364.05,-0.11,500.03,M,Y,0.08
T2_14012,363.74,-0.29,545.86,M,Y,0.08
T2_14013,363.53,0.35,591.42,M,Y,0.08
T2_14014,363.36,0.22,636.64,M,Y,0.08
T2_14015,362.71,0.67,682.34,M,Y,0.08
T2_14016,362.97,0.43,728.22,M,Y,0.08
T2_14017,363.68,0,773.42,M,Y,0.08
T2_14018,362.17,0.04,819.2,M,Y,0.08
T2_14019,363.31,0.11,864.12,M,Y,0.08
T2_14020,363.03,0.21,909.48,M,Y,0.08
T2_14021,362.49,0.13,954.64,M,Y,0.08
T2_14022,362.25,0.73,1000.85,M,Y,0.08
T2_14023,362.88,0.22,1045.82,M,Y,0.08
T2_14024,362.92,0.21,1091.36,M,Y,0.08
T2_14025,362.42,0.09,1136.84,M,Y,0.08
T2_14026,362.74,0.02,1182.78,M,Y,0.08
T2_14027,362.09,-0.15,1229.16,M,Y,0.08
T2_15000,521.65,-0.5,20.56,M,Y,0.08
T2_15001,521.57,-0.42,65.89,M,Y,0.08
T2_15002,522.98,-0.4,111.98,M,Y,0.08
T2_15003,521,0,158.33,M,Y,0.08
T2_15004,521.06,-0.48,203.93,M,Y,0.08
T2_15005,522.01,-0.15,249.29,M,Y,0.08
T2_15006,521.76,-0.46,294.99,M,Y,0.08
T2_15007,521.47,0.04,340.72,M,Y,0.08
T2_15008,521.42,-0.01,385.81,M,Y,0.08
T2_15009,521.68,-0.26,431.58,M,Y,0.08
T2_15010,521.95,0.24,477.1,M,Y,0.08
T2_15011,521.81,0.04,522.88,M,Y,0.08
T2_15012,521.84,-0.19,568.62,M,Y,0.08
T2_15013,521.45,-0.16,613.94,M,Y,0.08
T2_15014,521.66,0.09,659.05,M,Y,0.08
T2_15015,521.14,0.17,704.2,M,Y,0.08
T2_15016,521.47,0.09,750.59,M,Y,0.08
T2_15017,521.69,0.1,796.16,M,Y,0.08
T2_15018,520.97,-0.36,841.45,M,Y,0.08
T2_15019,521.25,0.7,886.63,M,Y,0.08
T2_15020,521.45,-0.23,931.99,M,Y,0.08
T2_15021,520.45,0.22,977.07,M,Y,0.08
T2_15022,520.56,0.1,1022.72,M,Y,0.08
T2_15023,519.93,-0.16,1068.06,M,Y,0.08
T2_15024,520.81,-0.17,1113.83,M,Y,0.08
T2_15025,519.88,-0.31,1159.87,M,Y,0.08
T2_15026,520.01,-0.48,1205.34,M,Y,0.08
T2_15027,520.36,0.37,1251.32,M,Y,0.08
T2_16000,543.48,0.15,0.43,M,Y,0.08
T2_16001,544.54,0.25,45.96,M,Y,0.08
T2_16002,545,-0.13,91.08,M,Y,0.08
T2_16003,544.07,-0.08,136.43,M,Y,0.08
T2_16004,543.8,-0.48,181.58,M,Y,0.08
T2_16005,544.89,-0.19,226.87,M,Y,0.08
T2_16006,544.33,-0.42,273.69,M,Y,0.08
T2_16007,545.23,-0.12,318.57,M,Y,0.08
T2_16008,544.25,0.31,364.17,M,Y,0.08
T2_16009,543.75,-0.27,410.06,M,Y,0.08
T2_16010,544.49,1.61,455.22,M,Y,0.08
T2_16011,543.91,-0.05,501.21,M,Y,0.08
T2_16012,544,0.08,547.24,M,Y,0.08
T2_16013,543.99,0.21,592.09,M,Y,0.08
T2_16014,544.43,-0.08,637.89,M,Y,0.08
T2_16015,544.07,0.23,682.92,M,Y,0.08
T2_16016,543.79,-0.08,728.02,M,Y,0.08
T2_16017,544.52,0.29,773.77,M,Y,0.08
T2_16018,543.82,0.13,819.25,M,Y,0.08
T2_16019,543.67,0.11,864.95,M,Y,0.08
T2_16020,544.22,1.2,910.5,M,Y,0.08
T2_16021,543.76,-0.21,955.85,M,Y,0.08
T2_16022,543.16,0.13,1001.19,M,Y,0.08
T2_16023,542.61,-0.19,1046.31,M,Y,0.08
T2_16024,543.66,0.24,1091.91,M,Y,0.08
T2_16025,543.39,-0.12,1137.49,M,Y,0.08
T2_16026,542.88,-0.08,1183.61,M,Y,0.08
T2_16027,542.9,0.61,1229.28,M,Y,0.08
T2_17000,702.35,-0.48,21.37,M,Y,0.08
T2_17001,703.1,-0.63,67.3,M,Y,0.08
T2_17002,703.3,-0.42,112.62,M,Y,0.08
T2_17003,703.38,-0.28,158.19,M,Y,0.08
T2_17004,702.54,-0.12,204.01,M,Y,0.08
T2_17005,703.04,-0.15,248.9,M,Y,0.08
T2_17006,703.27,-0.53,294.55,M,Y,0.08
T2_17007,703.16,0.39,340.35,M,Y,0.08
T2_17008,701.84,-0.26,385.67,M,Y,0.08
T2_17009,702.24,-0.03,430.96,M,Y,0.08
T2_17010,701.98,0.38,476.81,M,Y,0.08
T2_17011,702.46,-0.41,522.3,M,Y,0.08
T2_17012,702.31,-0.16,568.34,M,Y,0.08
T2_17013,703.71,-0.03,613.14,M,Y,0.08
T2_17014,702.62,0.56,660.13,M,Y,0.08
T2_17015,702.46,-0.23,705.21,M,Y,0.08
T2_17016,702.41,-0.27,750.7,M,Y,0.08
T2_17017,702.56,0.72,796.58,M,Y,0.08
T2_17018,701.99,0.31,841.48,M,Y,0.08
T2_17019,701.86,-0.02,888.39,M,Y,0.08
T2_17020,702.2,-0.18,933.74,M,Y,0.08
T2_17021,702.11,0,978.69,M,Y,0.08
T2_17022,701.85,0.4,1024.42,M,Y,0.08
T2_17023,701.34,-0.13,1069.25,M,Y,0.08
T2_17024,701.67,-0.33,1114.81,M,Y,0.08
T2_17025,702.01,-0.35,1160.05,M,Y,0.08
T2_17026,700.73,-0.04,1206.12,M,Y,0.08
T2_17027,700.84,-0.3,1252.04,M,Y,0.08
T2_18000,725.56,-0.97,-0.04,M,Y,0.08
T2_18001,725.77,-0.74,45.6,M,Y,0.08
T2_18002,726.06,-0.33,90.88,M,Y,0.08
T2_18003,725.71,-0.52,136,M,Y,0.08
T2_18004,725.25,-0.22,181.59,M,Y,0.08
T2_18005,724.97,-0.57,227.2,M,Y,0.08
T2_18006,725.09,-0.26,272.37,M,Y,0.08
T2_18007,725.44,-0.14,318.63,M,Y,0.08
T2_18008,724.92,0.29,364.06,M,Y,0.08
T2_18009,725.07,0.13,409.12,M,Y,0.08
T2_18010,724.34,0.03,453.93,M,Y,0.08
T2_18011,725.4,0.33,499.99,M,Y,0.08
T2_18012,724.56,-0.11,545.24,M,Y,0.08
T2_18013,725.87,-0.24,590.93,M,Y,0.08
T2_18014,724.65,0.03,636.14,M,Y,0.08
T2_18015,725.23,0.03,681.87,M,Y,0.08
T2_18016,724.85,0.04,727.3,M,Y,0.08
T2_18017,724.77,-0.24,772.64,M,Y,0.08
T2_18018,724.88,-0.1,817.83,M,Y,0.08
T2_18019,723.99,-0.11,863.17,M,Y,0.08
T2_18020,725.1,0.05,908.57,M,Y,0.08
T2_18021,724.82,-0.12,953.98,M,Y,0.08
T2_18022,724,0.26,999.47,M,Y,0.08
T2_18023,724.32,0.64,1044.9,M,Y,0.08
T2_18024,724.28,-0.4,1090.23,M,Y,0.08
T2_18025,724.77,-0.23,1136.24,M,Y,0.08
T2_18026,723.2,0.27,1182.2,M,Y,0.08
T2_18027,724.62,-0.24,1227.93,M,Y,0.08
T2_19000,883.96,-0.82,20.63,M,Y,0.08
T2_19001,883.65,-0.66,67.14,M,Y,0.08
T2_19002,884.16,-0.58,112.11,M,Y,0.08
T2_19003,884.03,-0.19,157.19,M,Y,0.08
T2_19004,882.91,-0.09,203.12,M,Y,0.08
T2_19005,883.27,-0.16,248.96,M,Y,0.08
T2_19006,883.76,-0.21,294.62,M,Y,0.08
T2_19007,883.7,-0.37,339.93,M,Y,0.08
T2_19008,884.43,-0.19,384.96,M,Y,0.08
T2_19009,884.32,-0.14,430.58,M,Y,0.08
T2_19010,882.52,0.03,476.4,M,Y,0.08
T2_19011,883.95,-0.59,521.46,M,Y,0.08
T2_19012,882.89,0,566.93,M,Y,0.08
T2_19013,884.44,1.37,612.26,M,Y,0.08
T2_19014,882.5,0.05,657.7,M,Y,0.08
T2_19015,884.12,-0.45,703.29,M,Y,0.08
T2_19016,884.16,1.34,748.6,M,Y,0.08
T2_19017,882.6,-0.24,794.4,M,Y,0.08
T2_19018,883.14,0.31,839.56,M,Y,0.08
T2_19019,882.4,0.33,885.05,M,Y,0.08
T2_19020,883.58,-0.15,931.05,M,Y,0.08
T2_19021,883.04,-0.14,976.34,M,Y,0.08
T2_19022,882.26,-0.2,1021.94,M,Y,0.08
T2_19023,882.09,-0.42,1067.02,M,Y,0.08
T2_19024,882.27,1.35,1112.19,M,Y,0.08
T2_19025,883.39,-0.07,1158.65,M,Y,0.08
T2_19026,881.45,0.05,1204.18,M,Y,0.08
T2_19027,883.31,-0.24,1250.19,M,Y,0.08
T2_20000,906.23,-0.94,-0.93,M,Y,0.08
T2_20001,905.83,-0.88,45.05,M,Y,0.08
T2_20002,906.51,-0.63,91.28,M,Y,0.08
T2_20003,906.41,0.15,137.71,M,Y,0.08
T2_20004,905.74,-0.51,183.43,M,Y,0.08
T2_20005,905.53,-0.32,228.97,M,Y,0.08
T2_20006,906.45,-0.05,274.14,M,Y,0.08
T2_20007,906.09,-0.17,319.71,M,Y,0.08
T2_20008,906.25,-0.42,365.14,M,Y,0.08
T2_20009,907.03,-0.18,410.61,M,Y,0.08
T2_20010,906.21,-0.12,456.13,M,Y,0.08
T2_20011,907.64,-0.58,501.42,M,Y,0.08
T2_20012,906.09,0.27,546.54,M,Y,0.08
T2_20013,906.34,0.4,591.98,M,Y,0.08
T2_20014,905.97,0.23,637.38,M,Y,0.08
T2_20015,906.07,0.09,683.12,M,Y,0.08
T2_20016,905.59,0.23,728.46,M,Y,0.08
T2_20017,905.24,-0.04,773.98,M,Y,0.08
T2_20018,905.75,0.12,819.28,M,Y,0.08
T2_20019,906.15,0.14,864.75,M,Y,0.08
T2_20020,906.35,0.04,909.9,M,Y,0.08
T2_20021,904.96,0.1,955.74,M,Y,0.08
T2_20022,904.39,-0.31,1000.9,M,Y,0.08
T2_20023,904.86,-0.27,1046.42,M,Y,0.08
T2_20024,904.92,-0.43,1091.68,M,Y,0.08
T2_20025,905.61,-0.23,1137.47,M,Y,0.08
T2_20026,905.03,-0.19,1183.18,M,Y,0.08
T2_20027,905.44,0.77,1228.84,M,Y,0.08
T2_21000,1064.41,-0.86,21.57,M,Y,0.08
T2_21001,1063.83,-0.79,67.42,M,Y,0.08
T2_21002,1064.65,-0.71,112.96,M,Y,0.08
T2_21003,1064.98,-0.25,159.66,M,Y,0.08
T2_21004,1063.76,-0.61,205.37,M,Y,0.08
T2_21005,1064.18,-0.47,250.75,M,Y,0.08
T2_21006,1065.17,0.25,295.77,M,Y,0.08
T2_21007,1064.69,1.22,340.84,M,Y,0.08
T2_21008,1064.89,-0.51,386.83,M,Y,0.08
T2_21009,1064.64,-0.39,432.63,M,Y,0.08
T2_21010,1064.91,-0.32,478.15,M,Y,0.08
T2_21011,1065.12,-0.41,523.86,M,Y,0.08
T2_21012,1063.97,-0.39,569.47,M,Y,0.08
T2_21013,1064.6,-0.23,615.08,M,Y,0.08
T2_21014,1064.83,-0.08,659.9,M,Y,0.08
T2_21015,1064.44,-0.04,705.66,M,Y,0.08
T2_21016,1063.85,-0.56,750.89,M,Y,0.08
T2_21017,1063.8,-0.4,795.5,M,Y,0.08
T2_21018,1064.07,-0.38,840.9,M,Y,0.08
T2_21019,1064.65,1.43,886.77,M,Y,0.08
T2_21020,1065.06,-0.52,932.07,M,Y,0.08
T2_21021,1063.73,-0.17,977.79,M,Y,0.08
T2_21022,1063.44,-0.59,1023.13,M,Y,0.08
T2_21023,1063.12,-0.48,1068.14,M,Y,0.08
T2_21024,1063.69,-0.27,1114.12,M,Y,0.08
T2_21025,1063.3,0.14,1158.9,M,Y,0.08
T2_21026,1062.87,-0.6,1205.04,M,Y,0.08
T2_21027,1063.29,-0.1,1250.69,M,Y,0.08
T2_22000,1086.75,-0.99,-1.92,M,Y,0.08
T2_22001,1086.27,-0.59,43.53,M,Y,0.08
T2_22002,1087.73,-1.1,88.78,M,Y,0.08
T2_22003,1087.21,-0.99,135.14,M,Y,0.08
T2_22004,1087.28,-0.73,180.68,M,Y,0.08
T2_22005,1086.27,0.01,226.07,M,Y,0.08
T2_22006,1087.42,-0.6,270.9,M,Y,0.08
T2_22007,1087.43,-0.3,317,M,Y,0.08
T2_22008,1087.74,0.43,362.16,M,Y,0.08
T2_22009,1087.32,-0.29,407.35,M,Y,0.08
T2_22010,1087.53,-0.85,453.06,M,Y,0.08
T2_22011,1087.75,-0.29,498.23,M,Y,0.08
T2_22012,1087.21,-0.31,543.78,M,Y,0.08
T2_22013,1086.73,-0.21,589.04,M,Y,0.08
T2_22014,1087.15,-0.58,634.15,M,Y,0.08
T2_22015,1086.89,-0.43,681.5,M,Y,0.08
T2_22016,1086.39,-0.26,727.66,M,Y,0.08
T2_22017,1086.55,-0.38,773.12,M,Y,0.08
T2_22018,1086.71,-0.05,818.08,M,Y,0.08
T2_22019,1086.62,-0.33,863.4,M,Y,0.08
T2_22020,1086.92,0.53,908.92,M,Y,0.08
T2_22021,1085.65,-0.09,954.94,M,Y,0.08
T2_22022,1085.7,-0.08,999.94,M,Y,0.08
T2_22023,1085.53,-0.43,1045.71,M,Y,0.08
T2_22024,1085.57,-0.25,1091.11,M,Y,0.08
T2_22025,1085.6,0,1136.64,M,Y,0.08
T2_22026,1085.07,-0.64,1182.27,M,Y,0.08
T2_22027,1086.09,0.15,1227.94,M,Y,0.08
T2_23000,1244.15,-1.01,19.82,M,Y,0.08
T2_23001,1244.58,-0.53,65.41,M,Y,0.08
T2_23002,1245.68,-0.86,110.58,M,Y,0.08
T2_23003,1245.22,-0.71,156.84,M,Y,0.08
T2_23004,1245.83,-0.64,202.36,M,Y,0.08
T2_23005,1244.74,-0.43,247.6,M,Y,0.08
T2_23006,1245.18,-0.15,292.71,M,Y,0.08
T2_23007,1245.43,-0.54,338.53,M,Y,0.08
T2_23008,1245.28,-0.58,384.15,M,Y,0.08
T2_23009,1245.27,-0.37,429.45,M,Y,0.08
T2_23010,1245.31,-0.81,474.59,M,Y,0.08
T2_23011,1246.1,-0.53,519.82,M,Y,0.08
T2_23012,1245.63,1.11,565.58,M,Y,0.08
T2_23013,1245.3,-0.33,610.97,M,Y,0.08
T2_23014,1245.67,-0.34,655.92,M,Y,0.08
T2_23015,1244.79,-0.28,703.62,M,Y,0.08
T2_23016,1244.65,-0.33,749.14,M,Y,0.08
T2_23017,1244.94,0.06,794.73,M,Y,0.08
T2_23018,1244.7,-0.36,840.37,M,Y,0.08
T2_23019,1244.78,-0.53,886.11,M,Y,0.08
T2_23020,1244.62,-0.48,931.22,M,Y,0.08
T2_23021,1244.68,0.03,976.83,M,Y,0.08
T2_23022,1244.74,-0.35,1022.45,M,Y,0.08
T2_23023,1244.17,-0.05,1067.18,M,Y,0.08
T2_23024,1244.33,-0.73,1112.5,M,Y,0.08
T2_23025,1243.9,-0.84,1157.99,M,Y,0.08
T2_23026,1243.02,-0.71,1203.96,M,Y,0.08
T2_23027,1243.87,-0.32,1249.95,M,Y,0.08
T2_24000,1266.63,-0.35,-0.78,M,Y,0.08
T2_24001,1266.35,-1.26,45.24,M,Y,0.08
T2_24002,1267.95,-0.9,90.53,M,Y,0.08
T2_24003,1268.01,-0.91,136.52,M,Y,0.08
T2_24004,1268.37,-0.42,181.95,M,Y,0.08
T2_24005,1268.13,-0.86,227.86,M,Y,0.08
T2_24006,1267.89,-0.5,273.09,M,Y,0.08
T2_24007,1267.58,0.03,319.37,M,Y,0.08
T2_24008,1267.76,-0.9,364.73,M,Y,0.08
T2_24009,1268.39,-0.67,409.8,M,Y,0.08
T2_24010,1267.85,-0.53,455.09,M,Y,0.08
T2_24011,1267.91,-0.08,500.82,M,Y,0.08
T2_24012,1268.46,-0.2,546.62,M,Y,0.08
T2_24013,1268.06,-0.54,591.29,M,Y,0.08
T2_24014,1268.18,0.06,636.65,M,Y,0.08
T2_24015,1267.51,-0.06,682.3,M,Y,0.08
T2_24016,1267.23,-0.68,728.16,M,Y,0.08
T2_24017,1267.02,-0.34,773.53,M,Y,0.08
T2_24018,1267.15,0.14,818.92,M,Y,0.08
T2_24019,1267.58,-0.1,864.09,M,Y,0.08
T2_24020,1267.09,-0.06,909.2,M,Y,0.08
T2_24021,1266.88,-0.28,954.5,M,Y,0.08
T2_24022,1267.1,0.06,1000.07,M,Y,0.08
T2_24023,1267.4,-0.09,1045.49,M,Y,0.08
T2_24024,1266.82,-0.59,1090.77,M,Y,0.08
T2_24025,1266.43,-0.64,1136.47,M,Y,0.08
T2_24026,1265.95,-0.04,1182.31,M,Y,0.08
T2_24027,1266.41,-0.6,1228.64,M,Y,0.08
T2_25000,1425.8,-0.83,20.42,M,Y,0.08
T2_25001,1425.22,-0.68,67.22,M,Y,0.08
T2_25002,1426.31,-0.58,112.78,M,Y,0.08
T2_25003,1425.53,-0.12,158.35,M,Y,0.08
T2_25004,1427.17,-0.79,204.41,M,Y,0.08
T2_25005,1427.33,-0.83,249.77,M,Y,0.08
T2_25006,1426.32,-0.95,294.61,M,Y,0.08
T2_25007,1425.83,-0.96,340.4,M,Y,0.08
T2_25008,1427.15,-0.35,385.97,M,Y,0.08
T2_25009,1426.81,-0.87,432.1,M,Y,0.08
T2_25010,1426.84,-0.78,477.24,M,Y,0.08
T2_25011,1426.33,-0.65,522.83,M,Y,0.08
T2_25012,1427.21,-1.19,567.54,M,Y,0.08
T2_25013,1426.56,-0.89,612.53,M,Y,0.08
T2_25014,1427.16,-0.84,657.71,M,Y,0.08
T2_25015,1425.3,-0.59,703.43,M,Y,0.08
T2_25016,1426.05,-0.78,750.06,M,Y,0.08
T2_25017,1425.29,-0.24,794.96,M,Y,0.08
T2_25018,1425.6,-0.61,840.37,M,Y,0.08
T2_25019,1426.51,-0.55,886.01,M,Y,0.08
T2_25020,1425.21,-0.56,931.1,M,Y,0.08
T2_25021,1425.93,-0.54,976.27,M,Y,0.08
T2_25022,1425.89,-0.56,1022.05,M,Y,0.08
T2_25023,1426.32,-0.6,1067.32,M,Y,0.08
T2_25024,1425.54,-0.66,1112.26,M,Y,0.08
T2_25025,1424.81,-0.21,1158.3,M,Y,0.08
T2_25026,1424.5,0.43,1203.45,M,Y,0.08
T2_25027,1424.77,-0.36,1251.12,M,Y,0.08
