> Title:
PHOS MODULE # 2 - CALIBRATION and DEFORMATION MEASUREMENT BY DIGITAL PHOTOGRAMMETRY
> Date:
11/09/2006
> Subdetector:
PHOS
> Report URL:
https://edms.cern.ch/document/772860
> Version:
1
> General Observations:
Measurement of the 08/09/2006 is with prefix T1_
Measurement of the 11/09/2006 is with prefix T2_
Point Types: M(easured),T(ransformed), R(eference)
> Coordinate System:
LOCAL
> Units:
mm
> Nr Columns:
7
> Column Names:
Point Name,XLOCAL,YLOCAL,ZLOCAL,Point Type,Target Used,Precision(mm)
T1_13016,339.79,-0.05,749.56,M,Y,0.08
T1_13017,340.32,-0.43,795.64,M,Y,0.08
T1_13018,339.37,-0.47,841.14,M,Y,0.08
T1_13019,339.95,-0.4,886.46,M,Y,0.08
T1_13020,340.06,-0.2,931.85,M,Y,0.08
T1_13021,339.92,-0.03,977.23,M,Y,0.08
T1_13022,339.28,-0.22,1022.78,M,Y,0.08
T1_13023,339.64,-0.2,1068.26,M,Y,0.08
T1_13024,340.38,-0.39,1113.98,M,Y,0.08
T1_13025,339.04,-0.23,1159.33,M,Y,0.08
T1_13026,339.81,-0.49,1205.1,M,Y,0.08
T1_13027,339.21,-0.39,1251.2,M,Y,0.08
T1_14000,363.63,-0.35,-0.94,M,Y,0.08
T1_14001,363.97,0.45,44.75,M,Y,0.08
T1_14002,364.25,-0.42,90.33,M,Y,0.08
T1_14003,362.96,-0.28,136.45,M,Y,0.08
T1_14004,362.79,-0.46,182.07,M,Y,0.08
T1_14005,363.66,-0.18,228.11,M,Y,0.08
T1_14006,363.8,-0.73,273.31,M,Y,0.08
T1_14007,362.88,-0.15,318.85,M,Y,0.08
T1_14008,363.31,0.07,364.16,M,Y,0.08
T1_14009,362.6,-0.31,409.5,M,Y,0.08
T1_14010,363.85,-0.44,454.66,M,Y,0.08
T1_14011,363.83,-0.5,500.17,M,Y,0.08
T1_14012,363.41,-0.67,545.92,M,Y,0.08
T1_14013,363.16,-0.33,591.48,M,Y,0.08
T1_14014,363.08,-0.14,636.7,M,Y,0.08
T1_14015,362.49,0.11,681.95,M,Y,0.08
T1_14016,362.61,0,728.18,M,Y,0.08
T1_14017,363.32,-0.41,773.34,M,Y,0.08
T1_14018,361.81,-0.36,819.11,M,Y,0.08
T1_14019,362.89,-0.32,864.05,M,Y,0.08
T1_14020,362.76,-0.25,909.31,M,Y,0.08
T1_14021,362.09,-0.22,954.45,M,Y,0.08
T1_14022,361.85,0.39,1000.74,M,Y,0.08
T1_14023,362.53,0.05,1045.72,M,Y,0.08
T1_14024,362.4,-0.14,1091.17,M,Y,0.08
T1_14025,361.92,-0.22,1136.6,M,Y,0.08
T1_14026,362.31,-0.17,1182.66,M,Y,0.08
T1_14027,361.65,-0.39,1228.98,M,Y,0.08
T1_15000,521.77,-0.48,20.81,M,Y,0.08
T1_15001,521.52,-0.45,66.16,M,Y,0.08
T1_15002,522.98,-0.38,111.95,M,Y,0.08
T1_15003,520.93,-0.18,158.57,M,Y,0.08
T1_15004,520.99,-0.65,204.03,M,Y,0.08
T1_15005,521.8,-0.36,249.3,M,Y,0.08
T1_15006,521.58,-0.7,295.12,M,Y,0.08
T1_15007,521.34,-0.16,340.47,M,Y,0.08
T1_15008,521.24,-0.21,386,M,Y,0.08
T1_15009,521.24,-0.64,431.76,M,Y,0.08
T1_15010,521.5,-0.29,477.13,M,Y,0.08
T1_15011,521.5,-0.38,522.96,M,Y,0.08
T1_15012,520.99,-0.61,568.56,M,Y,0.08
T1_15013,521.13,-0.59,614,M,Y,0.08
T1_15014,521.6,-0.39,659.2,M,Y,0.08
T1_15015,520.7,-0.41,704.27,M,Y,0.08
T1_15016,521.07,-0.22,750.52,M,Y,0.08
T1_15017,521.3,-0.33,796.08,M,Y,0.08
T1_15018,520.57,-0.77,841.37,M,Y,0.08
T1_15019,520.85,-0.15,886.54,M,Y,0.08
T1_15020,520.6,-0.5,931.64,M,Y,0.08
T1_15021,520.4,-0.07,977.18,M,Y,0.08
T1_15022,520.1,0.78,1022.48,M,Y,0.08
T1_15023,519.51,-0.43,1067.92,M,Y,0.08
T1_15024,520.35,-0.44,1113.68,M,Y,0.08
T1_15025,519.45,-0.49,1159.74,M,Y,0.08
T1_15026,519.56,-0.65,1205.17,M,Y,0.08
T1_15027,519.94,0.24,1251.14,M,Y,0.08
T1_16000,543.77,0.19,0.66,M,Y,0.08
T1_16001,544.45,0.15,46.21,M,Y,0.08
T1_16002,545.02,-0.38,91.28,M,Y,0.08
T1_16003,543.46,-0.37,136.57,M,Y,0.08
T1_16004,543.72,-0.58,181.81,M,Y,0.08
T1_16005,544.62,-0.41,226.98,M,Y,0.08
T1_16006,544.05,-0.66,273.63,M,Y,0.08
T1_16007,544.92,-0.42,318.64,M,Y,0.08
T1_16008,544.03,-0.06,364.26,M,Y,0.08
T1_16009,543.42,-0.64,410.15,M,Y,0.08
T1_16010,544,1.21,455.38,M,Y,0.08
T1_16011,543.63,-0.43,501.37,M,Y,0.08
T1_16012,543.45,-0.37,547.39,M,Y,0.08
T1_16013,543.52,-0.25,592.13,M,Y,0.08
T1_16014,544.06,-0.06,638,M,Y,0.08
T1_16015,543.55,-0.23,682.82,M,Y,0.08
T1_16016,543.38,-0.53,727.95,M,Y,0.08
T1_16017,544.14,-0.22,773.69,M,Y,0.08
T1_16018,543.39,-0.29,819.16,M,Y,0.08
T1_16019,543.23,-0.28,864.85,M,Y,0.08
T1_16020,543.43,-0.31,910.32,M,Y,0.08
T1_16021,543.31,-0.56,955.72,M,Y,0.08
T1_16022,542.66,-0.43,1000.91,M,Y,0.08
T1_16023,542.06,-0.49,1046.2,M,Y,0.08
T1_16024,543.21,-0.04,1091.75,M,Y,0.08
T1_16025,542.94,-0.36,1137.36,M,Y,0.08
T1_16026,542.44,-0.26,1183.48,M,Y,0.08
T1_16027,542.29,-0.28,1229.11,M,Y,0.08
T1_17000,702.46,-0.43,21.66,M,Y,0.08
T1_17001,702.8,-0.73,67.49,M,Y,0.08
T1_17002,703.26,-0.57,112.88,M,Y,0.08
T1_17003,703.09,-0.47,158.44,M,Y,0.08
T1_17004,702.35,-0.35,204.25,M,Y,0.08
T1_17005,702.87,-0.29,249.11,M,Y,0.08
T1_17006,702.9,-0.85,294.81,M,Y,0.08
T1_17007,702.9,0.8,340.63,M,Y,0.08
T1_17008,701.58,-0.49,385.88,M,Y,0.08
T1_17009,701.82,-0.48,431.12,M,Y,0.08
T1_17010,701.64,-0.05,476.99,M,Y,0.08
T1_17011,702.11,0.19,522.35,M,Y,0.08
T1_17012,701.62,-0.63,568.29,M,Y,0.08
T1_17013,703.05,-0.5,613.17,M,Y,0.08
T1_17014,702.19,0.11,660.12,M,Y,0.08
T1_17015,701.99,-0.68,705.28,M,Y,0.08
T1_17016,701.73,-0.69,750.71,M,Y,0.08
T1_17017,702.09,0.41,796.49,M,Y,0.08
T1_17018,701.51,0.02,841.36,M,Y,0.08
T1_17019,701.33,-0.4,888.2,M,Y,0.08
T1_17020,701.5,-0.53,933.55,M,Y,0.08
T1_17021,701.62,-0.32,978.56,M,Y,0.08
T1_17022,701.26,0.1,1024.16,M,Y,0.08
T1_17023,700.79,-0.39,1069.08,M,Y,0.08
T1_17024,701.18,-0.5,1114.65,M,Y,0.08
T1_17025,701.44,0.8,1159.85,M,Y,0.08
T1_17026,700.25,-0.01,1205.92,M,Y,0.08
T1_17027,700.32,-0.37,1251.85,M,Y,0.08
T1_18000,725.37,-1.04,0.12,M,Y,0.08
T1_18001,725.65,-0.72,45.84,M,Y,0.08
T1_18002,725.94,-0.42,91.07,M,Y,0.08
T1_18003,725.44,-0.71,136.27,M,Y,0.08
T1_18004,725.08,-0.38,181.79,M,Y,0.08
T1_18005,724.88,-0.65,227.4,M,Y,0.08
T1_18006,724.82,-0.4,272.57,M,Y,0.08
T1_18007,725.22,-0.42,318.83,M,Y,0.08
T1_18008,724.53,-0.13,364.25,M,Y,0.08
T1_18009,724.62,-0.28,409.23,M,Y,0.08
T1_18010,724,-0.38,454.09,M,Y,0.08
T1_18011,725.01,-0.12,500.08,M,Y,0.08
T1_18012,724.18,-0.56,545.32,M,Y,0.08
T1_18013,725.17,-0.62,590.93,M,Y,0.08
T1_18014,724.23,-0.4,636.13,M,Y,0.08
T1_18015,724.61,-0.43,681.78,M,Y,0.08
T1_18016,724.26,-0.4,727.23,M,Y,0.08
T1_18017,724.25,-0.48,772.59,M,Y,0.08
T1_18018,724.24,-0.5,817.74,M,Y,0.08
T1_18019,723.45,-0.48,863.08,M,Y,0.08
T1_18020,724.55,-0.11,908.4,M,Y,0.08
T1_18021,724.22,-0.45,953.77,M,Y,0.08
T1_18022,723.51,0,999.3,M,Y,0.08
T1_18023,723.69,-0.52,1044.82,M,Y,0.08
T1_18024,723.76,-0.58,1090.15,M,Y,0.08
T1_18025,724.15,-0.38,1136.1,M,Y,0.08
T1_18026,722.62,0.67,1182.07,M,Y,0.08
T1_18027,724.11,-0.32,1227.76,M,Y,0.08
T1_19000,884.04,-0.89,20.89,M,Y,0.08
T1_19001,883.58,-0.82,67.08,M,Y,0.08
T1_19002,884.06,-0.75,112.34,M,Y,0.08
T1_19003,883.91,-0.39,157.43,M,Y,0.08
T1_19004,882.77,-0.29,203.35,M,Y,0.08
T1_19005,883.08,-0.41,249.19,M,Y,0.08
T1_19006,883.45,-0.59,294.86,M,Y,0.08
T1_19007,883.31,-0.69,340.09,M,Y,0.08
T1_19008,884.05,-0.53,385.17,M,Y,0.08
T1_19009,884.01,-0.4,430.48,M,Y,0.08
T1_19010,882.09,-0.35,476.52,M,Y,0.08
T1_19011,883.64,-1,521.38,M,Y,0.08
T1_19012,882.52,-0.41,567.04,M,Y,0.08
T1_19013,883.84,-0.37,612.25,M,Y,0.08
T1_19014,882,-0.35,657.69,M,Y,0.08
T1_19015,883.49,-0.82,703.19,M,Y,0.08
T1_19016,882.82,-0.21,748.73,M,Y,0.08
T1_19017,882.07,-0.53,794.31,M,Y,0.08
T1_19018,882.6,0.01,839.51,M,Y,0.08
T1_19019,881.76,0.02,884.97,M,Y,0.08
T1_19020,883.01,-0.39,930.93,M,Y,0.08
T1_19021,882.26,-0.37,976.44,M,Y,0.08
T1_19022,881.68,-0.4,1021.74,M,Y,0.08
T1_19023,881.43,-0.55,1066.9,M,Y,0.08
T1_19024,881.58,-0.11,1112.29,M,Y,0.08
T1_19025,882.76,-0.13,1158.45,M,Y,0.08
T1_19026,880.81,0.05,1204.12,M,Y,0.08
T1_19027,882.78,-0.16,1250.03,M,Y,0.08
T1_20000,906.3,-0.98,-0.65,M,Y,0.08
T1_20001,905.83,-0.13,45.25,M,Y,0.08
T1_20002,906.45,-0.79,91.49,M,Y,0.08
T1_20003,906.31,0.11,137.94,M,Y,0.08
T1_20004,905.61,-0.5,183.67,M,Y,0.08
T1_20005,905.29,-0.6,229.15,M,Y,0.08
