Sensor/I:Type/C:Side/C:Sec/I:Num/I:ECha/I:Elmb/I:EAd/I:EIn/I
#Sensor	Type	Side	Sec	Num	ECha	Elmb	EAd	EIn
581	ROC	A	3	0	358	11	0	6
509	ROC	A	3	1	363	11	1	3
565	ROC	A	3	2	361	11	1	1
563	ROC	A	3	3	364	11	1	4
532	ROC	A	3	4	365	11	1	5
591	ROC	A	4	0	402	12	2	2
590	ROC	A	4	1	354	11	0	2
564	ROC	A	4	2	356	11	0	4
567	ROC	A	4	3	357	11	0	5
538	ROC	A	4	4	355	11	0	3
594	ROC	A	5	0	391	12	0	7
593	ROC	A	5	1	403	12	2	3
557	ROC	A	5	2	400	12	2	0
559	ROC	A	5	3	401	12	2	1
552	ROC	A	5	4	398	12	1	6
623	ROC	A	6	0	411	12	3	3
597	ROC	A	6	1	392	12	1	0
548	ROC	A	6	2	395	12	1	3
547	ROC	A	6	3	394	12	1	2
543	ROC	A	6	4	393	12	1	1
595	ROC	A	7	0	428	13	1	4
596	ROC	A	7	1	422	13	0	6
569	ROC	A	7	2	427	13	1	3
551	ROC	A	7	3	426	13	1	2
550	ROC	A	7	4	425	13	1	1
589	ROC	A	8	0	462	14	1	6
588	ROC	A	8	1	419	13	0	3
534	ROC	A	8	2	421	13	0	5
553	ROC	A	8	3	423	13	0	7
555	ROC	A	8	4	420	13	0	4
574	ROC	A	9	0	457	14	1	1
575	ROC	A	9	1	461	14	1	5
561	ROC	A	9	2	460	14	1	4
560	ROC	A	9	3	464	14	2	0
556	ROC	A	9	4	463	14	1	7
579	ROC	A	10	0	485	15	0	5
549	ROC	A	10	1	458	14	1	2
568	ROC	A	10	2	455	14	0	7
544	ROC	A	10	3	456	14	1	0
542	ROC	A	10	4	459	14	1	3
546	ROC	A	11	0	489	15	1	1
572	ROC	A	11	1	484	15	0	4
545	ROC	A	11	2	486	15	0	6
573	ROC	A	11	3	483	15	0	3
576	ROC	A	11	4	482	15	0	2
554	ROC	A	12	0	520	16	1	0
570	ROC	A	12	1	488	15	1	0
539	ROC	A	12	2	493	15	1	5
562	ROC	A	12	3	492	15	1	4
566	ROC	A	12	4	491	15	1	3
540	ROC	A	13	0	524	16	1	4
536	ROC	A	13	1	519	16	0	7
541	ROC	A	13	2	521	16	1	1
535	ROC	A	13	3	518	16	0	6
537	ROC	A	13	4	522	16	1	2
524	ROC	A	14	0	555	17	1	3
523	ROC	A	14	1	523	16	1	3
517	ROC	A	14	2	525	16	1	5
512	ROC	A	14	3	526	16	1	6
520	ROC	A	14	4	527	16	1	7
508	ROC	A	15	0	565	17	2	5
511	ROC	A	15	1	554	17	1	2
519	ROC	A	15	2	553	17	1	1
510	ROC	A	15	3	557	17	1	5
513	ROC	A	15	4	556	17	1	4
636	ROC	A	16	0	585	18	1	1
635	ROC	A	16	1	559	17	1	7
516	ROC	A	16	2	564	17	2	4
515	ROC	A	16	3	558	17	1	6
514	ROC	A	16	4	561	17	2	1
507	ROC	A	17	0	590	18	1	6
518	ROC	A	17	1	584	18	1	0
634	ROC	A	17	2	583	18	0	7
638	ROC	A	17	3	586	18	1	2
639	ROC	A	17	4	587	18	1	3
324	ROC	C	0	0	881	27	2	1
325	ROC	C	0	1	619	19	1	3
377	ROC	C	0	2	621	19	1	5
378	ROC	C	0	3	620	19	1	4
379	ROC	C	0	4	622	19	1	6
323	ROC	C	1	0	625	19	2	1
322	ROC	C	1	1	615	19	0	7
521	ROC	C	1	2	612	19	0	4
577	ROC	C	1	3	614	19	0	6
571	ROC	C	1	4	613	19	0	5
316	ROC	C	2	0	660	20	2	4
317	ROC	C	2	1	653	20	1	5
605	ROC	C	2	2	655	20	1	7
606	ROC	C	2	3	654	20	1	6
607	ROC	C	2	4	652	20	1	4
315	ROC	C	3	0	649	20	1	1
314	ROC	C	3	1	641	20	0	1
608	ROC	C	3	2	646	20	0	6
609	ROC	C	3	3	643	20	0	3
610	ROC	C	3	4	644	20	0	4
310	ROC	C	4	0	645	20	0	5
311	ROC	C	4	1	683	21	1	3
614	ROC	C	4	2	684	21	1	4
615	ROC	C	4	3	682	21	1	2
616	ROC	C	4	4	685	21	1	5
312	ROC	C	5	0	690	21	2	2
313	ROC	C	5	1	676	21	0	4
611	ROC	C	5	2	679	21	0	7
612	ROC	C	5	3	677	21	0	5
613	ROC	C	5	4	678	21	0	6
318	ROC	C	6	0	680	21	1	0
319	ROC	C	6	1	711	22	0	7
587	ROC	C	6	2	709	22	0	5
