# Plane types per cathods	
	
undefined  undefined
	
# Station 3 - Chamber  5 	 
	
921 333300N_CAG_03	333300N_nbp	333300N_bp
922 223330N_SAC_03	223330N_bp	223330N_nbp
923 222333N_CAG_06	222333N_nbp	222333N_bp
924 112233N_GAT_08	112233N_bp	112233N_nbp
925 112233NR3_NAN_09	112233NR3_nbp	112233NR3_bp
	
# Station 5 - Chamber 10	
	
1000 122330N_CAG_10	122330N_bp	122330N_nbp
1001 112233NR3_NAN_06	112233NR3_bp	112233NR3_nbp
1002 112233N_GAT_02	112233N_bp	112233N_nbp
1003 222333N_CAG_08	222333N_nbp	222333N_bp
1004 223330N_SAC_01	223330N_bp	223330N_nbp
1005 333300N_GAT_04	333300N_nbp	333300N_bp
1006 333000N_GAT_04	333000N_bp	333000N_nbp
1007 333000N_GAT_06	333000N_nbp	333000N_bp
1008 333300N_GAT_05	333300N_bp	333300N_nbp
1009 223330N_SAC_04	223330N_nbp	223330N_bp
1010 222333N_CAG_02	222333N_bp	222333N_nbp
1011 112233N_GAT_06	112233N_nbp	112233N_bp
1012 112233NR3_NAN_07	112233NR3_nbp	112233NR3_bp
1013 122330N_CAG_05	122330N_nbp	122330N_bp
1014 112233NR3_SAC_07	112233NR3_bp	112233NR3_nbp
1015 112233N_GAT_03	112233N_nbp	112233N_bp
1016 222333N_CAG_01	222333N_bp	222333N_nbp
1017 223330N_SAC_05	223330N_nbp	223330N_bp
1018 333300N_GAT_02	333300N_bp	333300N_nbp
1019 333000N_GAT_14	333000N_nbp	333000N_bp
1020 333000N_GAT_07	333000N_bp	333000N_nbp
1021 333300N_CAG_04	333300N_nbp	333300N_bp
1022 223330N_SAC_06	223330N_bp	223330N_nbp
1023 222333N_CAG_03	222333N_nbp	222333N_bp
1024 112233N_GAT_04	112233N_bp	112233N_nbp
1025 112233NR3_SAC_01	112233NR3_nbp	112233NR3_bp
