VARIABLE: BSRL.B1.SYS_A:sigma_sat_tot_syst
DataType: NUMERIC
Unit: -
Length: 1
Description: Systematic sigma of Q_sat_tot

Timestamp (UTC_TIME),Value
2017-07-27 19:30:55.405000,5.196925620056000E-06
2017-07-27 19:35:55.392000,5.131954449805000E-06
2017-07-27 19:40:55.379000,5.188165543959000E-06
2017-07-27 19:45:55.365000,5.503887614531000E-06
2017-07-27 19:50:55.352000,5.253560404612000E-06
2017-07-27 19:55:55.338000,5.258124044589000E-06
2017-07-27 20:00:55.325000,5.328093504185000E-06
2017-07-27 20:05:55.311000,5.327338009527000E-06
2017-07-27 20:10:55.298000,5.500975922512000E-06
2017-07-27 20:15:55.285000,4.896236955293000E-06
2017-07-27 20:20:55.271000,5.360274563317000E-06
VARIABLE: BSRL.B1.SYS_A:Q_filled_tot_odd
DataType: NUMERIC
Unit: -
Length: 1
Description: Fraction of beam in odd filled buckets (total)

Timestamp (UTC_TIME),Value
2017-07-27 11:10:56.742000,9.756735372421000E-01
2017-07-27 11:15:56.730000,9.948735407193000E-01
2017-07-27 11:20:56.717000,9.965928129663000E-01
2017-07-27 11:25:56.704000,9.971380113765000E-01
2017-07-27 11:30:56.691000,9.973901404103001E-01
2017-07-27 11:35:56.678000,9.975805224008000E-01
2017-07-27 11:40:56.666000,9.975143745845000E-01
2017-07-27 11:45:56.653000,9.972721399219000E-01
2017-07-27 11:50:56.639000,9.974222331149000E-01
2017-07-27 11:55:56.626000,9.973697425670000E-01
2017-07-27 12:00:56.613000,9.973580550906000E-01
2017-07-27 12:05:56.599000,9.977640109044000E-01
2017-07-27 12:10:56.586000,9.979359096708000E-01
2017-07-27 12:15:56.572000,9.979695494757000E-01
2017-07-27 12:20:56.559000,9.979518951841000E-01
2017-07-27 12:25:56.546000,9.979518508173000E-01
2017-07-27 12:30:56.532000,9.979384369842000E-01
2017-07-27 12:35:56.519000,9.979515205814000E-01
2017-07-27 12:40:56.505000,9.979265916640000E-01
2017-07-27 12:45:56.492000,9.979368710566000E-01
2017-07-27 12:50:56.478000,9.979639390565000E-01
2017-07-27 12:55:56.465000,9.979398773846000E-01
