VARIABLE: BSRL.B1.SYS_B:sigma_sat_tot_syst
DataType: NUMERIC
Unit: -
Length: 1
Description: Systematic sigma of Q_sat_tot

Timestamp (UTC_TIME),Value
2017-07-27 19:35:55.392000,2.969069943259000E-06
2017-07-27 19:40:55.379000,3.060363446715000E-06
2017-07-27 19:45:55.365000,3.008065608097000E-06
2017-07-27 19:50:55.352000,2.978414765639000E-06
2017-07-27 19:55:55.338000,2.326816247748000E-06
2017-07-27 20:00:55.325000,3.068913212979000E-06
2017-07-27 20:05:55.311000,2.791743771512000E-06
2017-07-27 20:10:55.298000,2.809745196367000E-06
2017-07-27 20:15:55.285000,2.792181953279000E-06
2017-07-27 20:20:55.271000,3.144840260681000E-06
VARIABLE: BSRL.B1.SYS_B:Q_filled_tot_odd
DataType: NUMERIC
Unit: -
Length: 1
Description: Fraction of beam in odd filled buckets (total)

Timestamp (UTC_TIME),Value
2017-07-27 11:10:56.742000,9.618523056940000E-01
2017-07-27 11:15:56.730000,9.928041759084000E-01
2017-07-27 11:20:56.717000,9.954965535331000E-01
2017-07-27 11:25:56.704000,9.965461691997000E-01
2017-07-27 11:30:56.691000,9.968199982824000E-01
2017-07-27 11:35:56.678000,9.971865837255000E-01
2017-07-27 11:40:56.666000,9.972102781013999E-01
2017-07-27 11:45:56.653000,9.970029719087000E-01
2017-07-27 11:50:56.639000,9.956992177002000E-01
2017-07-27 12:00:56.613000,9.962670629997000E-01
2017-07-27 12:05:56.599000,9.976212161790000E-01
2017-07-27 12:10:56.586000,9.973301073489000E-01
2017-07-27 12:15:56.572000,9.973105978201000E-01
2017-07-27 12:20:56.559000,9.972620375632000E-01
2017-07-27 12:25:56.546000,9.972740136612001E-01
2017-07-27 12:30:56.532000,9.973603215689000E-01
2017-07-27 12:35:56.519000,9.973161385783000E-01
2017-07-27 12:40:56.505000,9.972975832051000E-01
2017-07-27 12:45:56.492000,9.973313385420000E-01
2017-07-27 12:50:56.478000,9.973077088559000E-01
2017-07-27 12:55:56.465000,9.973052805419000E-01
2017-07-27 13:00:56.452000,9.972897773902000E-01
2017-07-27 13:05:56.438000,9.973027879606000E-01
2017-07-27 13:10:56.425000,9.973116324549000E-01
2017-07-27 13:15:56.411000,9.972709597257000E-01
2017-07-27 13:20:56.398000,9.973096830751000E-01
2017-07-27 13:25:56.385000,9.973282300603000E-01
2017-07-27 13:30:56.371000,9.972710568169000E-01
2017-07-27 13:35:56.358000,9.973067693927000E-01
2017-07-27 13:40:56.344000,9.973396030020000E-01
2017-07-27 13:45:56.331000,9.973111931102000E-01
2017-07-27 13:50:56.318000,9.973206387661000E-01
2017-07-27 13:55:56.304000,9.972909467644000E-01
2017-07-27 14:00:56.291000,9.972502365073000E-01
2017-07-27 14:05:56.277000,9.972974242790000E-01
2017-07-27 14:10:56.264000,9.972973040274000E-01
2017-07-27 14:15:56.250000,9.973307147986999E-01
2017-07-27 14:20:56.237000,9.973409288974000E-01
2017-07-27 14:25:56.224000,9.972699785293000E-01
2017-07-27 14:30:56.210000,9.972713557022000E-01
2017-07-27 14:35:56.197000,9.973152039850000E-01
2017-07-27 14:40:56.183000,9.973001829086000E-01
2017-07-27 14:45:56.170000,9.973210658931000E-01
2017-07-27 14:50:56.156000,9.973235433010000E-01
2017-07-27 14:55:56.143000,9.973060912512000E-01
2017-07-27 15:00:56.130000,9.973226078059000E-01
2017-07-27 15:05:56.116000,9.972683637295000E-01
2017-07-27 15:10:56.103000,9.972944537398000E-01
2017-07-27 15:15:56.089000,9.976103824625000E-01
2017-07-27 15:20:56.076000,9.981115353300000E-01
2017-07-27 15:25:56.063000,9.981044855523000E-01
2017-07-27 15:30:56.049000,9.981114943461999E-01
2017-07-27 15:35:56.036000,9.972556739784000E-01
2017-07-27 15:40:56.022000,9.972580067194000E-01
2017-07-27 15:45:56.009000,9.972374362043001E-01
2017-07-27 15:50:55.996000,9.973073028418000E-01
2017-07-27 15:55:55.982000,9.972709656819000E-01
2017-07-27 16:00:55.969000,9.972927042008000E-01
2017-07-27 16:05:55.955000,9.973178992312000E-01
2017-07-27 16:10:55.942000,9.972449084111000E-01
2017-07-27 16:15:55.928000,9.973040794001000E-01
2017-07-27 16:20:55.915000,9.972436773506000E-01
2017-07-27 16:25:55.902000,9.972557139908000E-01
2017-07-27 16:30:55.888000,9.972723390691000E-01
2017-07-27 16:35:55.875000,9.972311454891000E-01
2017-07-27 16:40:55.861000,9.972742967399000E-01
2017-07-27 16:45:55.848000,9.972775320256000E-01
2017-07-27 16:50:55.835000,9.972582605114000E-01
