# Id serial (old Id)
  1  bp 10464 1
  2  bp 10462 2
  3  bp 10487 3
  4  bp 10482 4
  5  bp 10483 5
  6  bp 10485 6
  7  bp 10472 7
  8  bp 10466 8
  9  bp 10463 9
 10  bp 10475 10
 11 nbp 10666 1031
 12 nbp 10693 1030
 13 nbp 10665 1029
 14 nbp 10709 1028
 15 nbp 10686 1027
 16 nbp 10688 1026
 17 nbp 10681 1025
 18  bp 10465 11
 19  bp 10467 12
 20  bp 10470 13
 21  bp 10469 14
 22  bp 10492 15
 23 nbp 10700 1035
 24 nbp 10699 1034
 25 nbp 10726 1033
 26 nbp 10685 1032
101 nbp 10682 1125
102 nbp 10668 1126
103  bp 10471 102
104  bp 10764 101
105 nbp 10650 1127
106 nbp 10689 1128
107  bp 10460 104
108  bp 10490 103
109 nbp 10690 1129
110 nbp 10735 1130
111 nbp 10694 1131
112  bp 10486 109
113  bp 10468 108
114  bp 10481 107
115  bp 10762 106
116  bp 10484 105
201  bp 10461 201
202  bp 10495 202
203  bp 10488 203
204 nbp 10704 1226
205 nbp 10669 1225
206  bp 10795 204
207  bp 10782 205
208  bp 10776 206
209 nbp 10680 1228
210 nbp 10687 1227
211  bp 10489 207
212  bp 10745 208
213  bp 10497 209
214  bp 10758 210
215  bp 10796 211
216 nbp 10649 1232
217 nbp 10730 1231
218 nbp 10698 1230
219 nbp 10707 1229
301 nbp 10444 1325
302 nbp 10449 1326
303 nbp 10441 1327
304 nbp 10448 1328
305 nbp 10446 1329
306 nbp 10443 1330
307 nbp 10447 1331
308  bp 10731 310
309  bp 10581 309
310  bp 10733 308
311  bp 10670 307
312  bp 10728 306
313  bp 10711 305
314  bp 10701 304
315  bp 10697 303
316  bp 10706 302
317  bp 10702 301
318 nbp 10696 1332
319 nbp 10695 1333
320 nbp 10679 1334
321  bp 10775 315
322  bp 10493 314
323  bp 10710 313
324  bp 10705 312
325  bp 10439 311
