-282.93	179.5	3.14
-282.93	129.1	3.13
-282.93	78.7	3.09
-282.93	28.3	3.09
-282.93	-22.1	3.14
-282.93	-72.5	3.1
-282.93	-122.9	3.09
-282.93	-173.3	3.16
-217.77	-173.3	3.1
-217.77	-122.9	3.11
-217.77	-72.5	3.13
-217.77	-22.1	3.11
-217.77	28.3	3.09
-217.77	78.7	3.12
-217.77	129.1	3.08
-217.77	179.5	3.12
-152.61	179.5	3.1
-152.61	129.1	3.06
-152.61	78.7	3.09
-152.61	28.3	3.1
-152.61	-22.1	3.15
-152.61	-72.5	3.13
-152.61	-122.9	3.16
-152.61	-173.3	3.11
-87.49	-173.3	3.22
-87.49	-122.9	3.2
-87.49	-72.5	3.11
-87.49	-22.1	3.22
-87.49	28.3	3.13
-87.49	78.7	3.07
-87.49	129.1	3.11
-87.49	179.5	3.12
-22.28	179.5	3.3
-22.28	129.1	3.15
-22.28	78.7	3.19
-22.28	28.3	3.12
-22.28	-22.1	3.23
-22.28	-72.5	3.19
-22.28	-122.9	3.26
-22.28	-173.3	3.3
42.88	-173.3	3.26
42.88	-122.9	3.38
42.88	-72.5	3.31
42.88	-22.1	3.33
42.88	28.3	3.31
42.88	78.7	3.29
42.88	129.1	3.26
42.88	179.5	3.19
108.04	179.5	3.21
108.04	129.1	3.27
108.04	78.7	3.27
108.04	28.3	3.28
108.04	-22.1	3.33
108.04	-72.5	3.28
108.04	-122.9	3.3
108.04	-173.3	3.16
173.25	-173.3	3.24
173.25	-122.9	3.12
173.25	-72.5	3.16
173.2	-22.1	3.25
173.2	28.3	3.23
173.2	78.7	3.25
173.2	129.1	3.21
173.2	179.5	3.13
238.36	179.5	3.09
238.36	129.1	3.15
238.36	78.7	3.17
238.36	28.3	3.21
238.36	-22.1	3.28
238.36	-72.5	3.22
238.36	-122.9	3.17
238.36	-173.3	3.21
303.53	-173.3	3.12
303.53	-122.9	3.16
303.53	-72.5	3.14
303.53	-22.1	3.2
303.53	28.3	3.17
303.53	78.7	3.11
303.53	129.1	3.04
303.53	179.5	3.12

