# #
# #                           DECAYS DATA
# #
#pentaq0th   ne0939zer   Ka0492plu   1.     1
#pentaq0th   pr0938plu   Ka0492zer   1.     1
#pentqa0th   ne0939zrb   Ka0492min   1.     1
#pentqa0th   pr0938plb   Ka0492zrb   1.     1
#pentaqxim   Xi1321min   pi0139min   0.5    1
#pentaqxim   Sg1189min   Ka0492min   0.5    1
#pentaqxip   Xi1321zer   pi0139plu   0.5    1
#pentaqxip   Sg1189plu   Ka0492zrb   0.5    1
#pentaqaxp   Xi1321mnb   pi0139plu   0.5    1
#pentaqaxp   Sg1189mnb   Ka0492plu   0.5    1
#pentaqaxm   Xi1321zrb   pi0139min   0.5    1
#pentaqaxm   Sg1189plb   Ka0492zer   0.5    1
#
Dl2420plp   pr0938plu   pi0139plu   0.1    0
Dl2420plp   Dl1232plu   pi0139plu   0.2    1
Dl2420plp   Dl1232plp   pi0135zer   0.2    1
Dl2420plp   pr0938plu   rho770plu   0.7    0
Dl2420plu   Dl1232plp   pi0139min   0.2    1
Dl2420plu   Dl1232zer   pi0139plu   0.2    1
Dl2420plu   Dl1232plu   pi0135zer   0.2    1
Dl2420plu   ne0939zer   pi0139plu   0.1    1
Dl2420plu   pr0938plu   pi0135zer   0.1    1
Dl2420plu   ne0939zer   rho770plu   0.7    1
Dl2420plu   pr0938plu   rho770zer   0.7    1 
Dl2420zer   Dl1232plu   pi0139min   0.2    1
Dl2420zer   Dl1232min   pi0139plu   0.2    1
Dl2420zer   Dl1232zer   pi0135zer   0.2    1
Dl2420zer   pr0938plu   pi0139min   0.1    1
Dl2420zer   ne0939zer   pi0135zer   0.1    1
Dl2420zer   pr0938plu   rho770min   0.7    1
Dl2420zer   ne0939zer   rho770zer   0.7    1
Dl2420min   Dl1232zer   pi0139min   0.2    1
Dl2420min   Dl1232min   pi0135zer   0.2    1
Dl2420min   ne0939zer   pi0139min   0.1    0
Dl2420min   ne0939zer   rho770min   0.7    0
Dl2420ppb   pr0938plb   pi0139min   0.1    0
Dl2420ppb   Dl1232plb   pi0139min   0.2    1
Dl2420ppb   Dl1232ppb   pi0135zer   0.2    1
Dl2420ppb   pr0938plb   rho770min   0.7    0
Dl2420plb   Dl1232ppb   pi0139plu   0.2    1
Dl2420plb   Dl1232zrb   pi0139min   0.2    1
Dl2420plb   Dl1232plb   pi0135zer   0.2    1
Dl2420plb   ne0939zrb   pi0139min   0.1    1
Dl2420plb   pr0938plb   pi0135zer   0.1    1
Dl2420plb   ne0939zrb   rho770min   0.7    1
Dl2420plb   pr0938plb   rho770zer   0.7    1 
Dl2420zrb   Dl1232plb   pi0139plu   0.2    1
Dl2420zrb   Dl1232mnb   pi0139min   0.2    1
Dl2420zrb   Dl1232zrb   pi0135zer   0.2    1
Dl2420zrb   pr0938plb   pi0139plu   0.1    1
Dl2420zrb   ne0939zrb   pi0135zer   0.1    1
Dl2420zrb   pr0938plb   rho770plu   0.7    1
Dl2420zrb   ne0939zrb   rho770zer   0.7    1
Dl2420mnb   Dl1232zrb   pi0139plu   0.2    1
Dl2420mnb   Dl1232mnb   pi0135zer   0.2    1
Dl2420mnb   ne0939zrb   pi0139plu   0.1    0
Dl2420mnb   ne0939zrb   rho770plu   0.7    0
f42340zer   ph1020zer   ph1020zer   1.0     0
f22300zer   ph1020zer   ph1020zer   1.0     0
UM2250min   Xi1321zer   Ka0492min   1.0     0
