1 12039
2 12204
3 12122
4 12281
5 12131
6 12059
7 12125
8 12066
9 12280
10 12127
11 12211
12 11898
13 12049
14 12132
15 12137
16 12228
17 11883
18 12129
19 12037
20 11945
21 12134
22 12090
23 11934
24 12065
25 12031
26 12064
27 12139
28 12106
29 12056
30 12069
31 12271
32 12051
33 12239
34 11965
101 11897
102 11899
103 12052
104 12100
105 12118
106 11982
107 12113
108 11902
109 12219
110 12058
111 11886
112 11974
113 12285
114 12057
115 11978
116 12054
117 11913
118 11948
119 12038
120 11970
201 12117
202 12237
203 11975
204 12035
205 12123
206 11949
207 12190
208 12034
209 11929
210 12238
211 11908
212 12116
213 12135
214 12130
215 12136
216 12126
217 12182
218 12263
219 11905
220 12246
221 12068
222 11893
223 12053
301 12275
302 11909
303 11895
304 12256
305 11967
306 12109
307 11900
308 11969
309 11930
310 12133
311 11910
312 11891
313 11884
314 11971
315 11869
316 12235
317 11885
318 11976
319 12210
320 11882
321 12272
322 12240
323 11928
324 12225
325 12236
326 11926
327 12266
328 11927
329 11919
330 12270
331 12249
332 12289
333 12050
334 11968
