# Id serial (old Id)
# serial missing for manuId 110 (1227)
  1 nbp 10766 1125
  2 nbp 10717 1126
  3  bp 10778 102
  4  bp 10777 101
  5 nbp 10752 1127
  6 nbp 10768 1128
  7  bp 10763 104
  8  bp 10747 103
101  bp 10771 201
102  bp 10716 202
103  bp 10765 203
104 nbp 10613 1226
105 nbp 10767 1225
106  bp 10772 204
107  bp 10759 205
108  bp 10761 206
109 nbp 10770 1228
110 nbp 40000 1227
