# Id serial (old Id)
  1  bp 10457 1
  2  bp 10619 2
  3  bp 10641 3
  4  bp 10542 4
  5  bp 10560 5
  6 nbp 10456 1025
  7 nbp 10537 1026
  8 nbp 11066 1027
  9 nbp 10979 1028
101 nbp 10558 1125
102 nbp 10459 1126
103  bp 10643 102
104  bp 10789 101
105 nbp 10535 1127
106 nbp 11058 1128
107  bp 10611 104
108  bp 10557 103
109 nbp 10640 1129
110 nbp 10635 1130
111 nbp 11065 1131
112  bp 10541 109
113  bp 10638 108
114  bp 11060 107
115  bp 10634 106
116  bp 10527 105
201  bp 10774 201
202  bp 10522 202
203  bp 10580 203
204 nbp 10088 1226
205 nbp 11052 1225
206  bp 10584 204
207  bp 10609 205
208  bp 10660 206
209 nbp 11054 1228
210 nbp 11053 1227
211  bp 10616 207
212  bp 10653 208
213  bp 10636 209
214  bp 10654 210
215  bp 10652 211
216 nbp 10514 1232
217 nbp 11016 1231
218 nbp 11059 1230
219 nbp 11062 1229
301 nbp 10571 1327
302 nbp 11047 1326
303 nbp 10528 1325
304  bp 10451 301
305  bp 10663 302
306  bp 10521 303
307  bp 10620 304
308  bp 10531 305
