1 16482
2 16429
3 16532
4 16531
5 16522
6 16574
7 16446
8 16524
9 16527
10 15172
11 16568
12 16426
13 16336
14 16344
15 15581
16 15479
17 16253
18 16544
19 16525
20 16528
21 16519
22 16520
23 16490
24 16533
25 16530
26 16501
27 16508
28 16448
29 16570
30 16569
31 16363
32 16424
33 16427
34 16587
35 16589
36 16505
37 16521
38 16481
39 16494
40 16359
41 16557
42 16565
43 16592
101 16555
102 16563
103 16480
104 16506
105 16579
106 16546
107 16510
108 16515
109 16444
110 16360
111 16564
112 16518
113 16539
114 16502
115 16517
116 16529
201 16547
202 16353
203 16540
204 16552
205 16562
206 16507
207 16487
208 16538
209 16553
210 16578
211 16488
212 16593
213 16355
214 16425
215 16590
216 16342
217 16591
218 16585
219 16551
301 16308
302 16170
303 16190
304 16309
305 16281
306 16245
307 16172
308 16438
309 16491
310 16430
311 16586
312 16347
313 16596
314 16504
315 16595
316 16343
317 16476
318 15370
319 16212
320 15606
321 14858
322 16202
323 16278
324 16311
325 16556
326 16439
327 16545
328 16560
329 16496
330 16478
331 16575
332 16573
333 16594
334 16514
335 16231
336 16282
337 16566
338 16434
339 16450
340 16542
341 16348
342 16433
