1 16280
2 15107
3 16277
4 16235
5 16274
6 16310
7 14826
8 12003
9 16276
10 16193
11 16296
12 16226
13 15569
14 15602
15 16246
16 10588
17 11983
18 11870
19 16230
20 16252
21 16138
22 15018
23 16248
24 14977
25 15587
26 15570
101 16259
102 15323
103 16233
104 15484
105 16242
106 15061
107 15452
108 15896
109 16227
110 15519
111 15585
112 15565
113 16293
114 15510
115 16301
116 16239
117 15575
118 16255
119 16237
201 15363
202 16294
203 14825
204 15375
205 16234
206 16304
207 16236
208 14982
209 16179
210 16214
211 16287
212 16224
213 16249
214 15367
215 15315
216 16238
301 16291
302 16197
303 16306
304 15595
305 16290
306 16228
307 11227
308 15007
309 16213
310 16189
311 14873
312 16288
313 15325
314 16275
315 15094
316 15831
317 16199
318 15447
319 16266
320 15603
321 15039
322 15610
323 15423
324 15403
325 15377
326 15487
327 15664
328 15586
329 14795
330 16250
331 16198
332 16289
333 15103
334 15326
335 15600
336 16195
401 16260
402 15425
403 15455
404 15436
405 16268
406 16261
407 15887
408 16257
409 16174
410 14831
411 16284
412 16272
413 15624
