# Id serial (old Id)
  1  bp 10773 1
  2  bp 10605 2
  3  bp 10623 3
  4  bp 10589 4
  5  bp 10674 5
  6 nbp 10727 1028
  7 nbp 10755 1027
  8 nbp 10940 1026
  9 nbp 10723 1025
101 nbp 10433 1125
102 nbp 10602 1126
103  bp 10598 102
104  bp 10608 101
105 nbp 10597 1127
106 nbp 10617 1128
107  bp 10626 104
108  bp 10631 103
109 nbp 10615 1129
110 nbp 10642 1130
111 nbp 10621 1131
112  bp 10656 109
113  bp 10587 108
114  bp 10633 107
115  bp 10591 106
116  bp 10596 105
201  bp 10436 201
202  bp 10599 202
203  bp 10592 203
204 nbp 10676 1226
205 nbp 10450 1225
206  bp 10442 204
207  bp 10432 205
208  bp 10437 206
209 nbp 10595 1228
210 nbp 10607 1227
211  bp 10440 207
212  bp 10445 208
213  bp 10438 209
214  bp 10435 210
215  bp 10513 211
216 nbp 10662 1232
217 nbp 10603 1231
218 nbp 10657 1230
219 nbp 10610 1229
301 nbp 10655 1325
302 nbp 10618 1326
303 nbp 10658 1327
304  bp 10606 305
305  bp 10601 304
306  bp 10664 303
307  bp 10628 302
308  bp 10625 301
