# Id serial (old Id)
  1  bp 10919 1
  2  bp 10916 2
  3  bp 10931 3
  4  bp 10913 4
  5  bp 10912 5
  6  bp 10911 6
  7  bp 10917 7
  8  bp 10972 8
  9  bp 10914 9
 10  bp 10930 10
 11 nbp 10831 1031
 12 nbp 10832 1030
 13 nbp 10813 1029
 14 nbp 10899 1028
 15 nbp 10860 1027
 16 nbp 10842 1026
 17 nbp 10818 1025
 18  bp 10902 11
 19  bp 10925 12
 20  bp 10920 13
 21  bp 10924 14
 22  bp 10923 15
 23  bp 10876 16
 24  bp 10873 17
 25  bp 11013 18
 26  bp 10884 19
 27  bp 10875 20
 28 nbp 10850 1038
 29 nbp 10841 1037
 30 nbp 10808 1036
 31 nbp 10806 1035
 32 nbp 10861 1034
 33 nbp 10807 1033
 34 nbp 10901 1032
101 nbp 10857 1125
102 nbp 10859 1126
103  bp 10886 102
104  bp 11012 101
105 nbp 10862 1127
106 nbp 10863 1128
107 nbp 10898 1129
108  bp 10888 107
109  bp 10870 106
110  bp 10889 105
111  bp 10885 104
112  bp 10874 103
113 nbp 10868 1130
114 nbp 10897 1131
115 nbp 10855 1132
116  bp 10921 112
117  bp 11010 111
118  bp 10926 110
119  bp 11014 109
120  bp 10974 108
201  bp 10927 201
202  bp 10933 202
203  bp 10928 203
204 nbp 10834 1226
205 nbp 10852 1225
206  bp 10922 204
207  bp 10929 205
208  bp 10872 206
209  bp 10887 207
210  bp 10909 208
211 nbp 10843 1230
212 nbp 10833 1229
213 nbp 10848 1228
214 nbp 10844 1227
215  bp 10821 209
216  bp 10839 210
217  bp 10910 211
218  bp 10896 212
219  bp 10836 213
220 nbp 10854 1234
221 nbp 10799 1233
222 nbp 10803 1232
223 nbp 10851 1231
301 nbp 10895 1325
302 nbp 10853 1326
303 nbp 10867 1327
304 nbp 10900 1328
305 nbp 10822 1329
306 nbp 10847 1330
307 nbp 10828 1331
308  bp 10865 310
309  bp 10846 309
310  bp 10801 308
311  bp 10510 307
312  bp 10892 306
313  bp 10894 305
314  bp 10864 304
315  bp 10893 303
316  bp 10800 302
317  bp 10856 301
318 nbp 10824 1332
319 nbp 10829 1333
320 nbp 10835 1334
321 nbp 10823 1335
322 nbp 10816 1336
323 nbp 10805 1337
324 nbp 10804 1338
325  bp 10830 320
326  bp 10845 319
327  bp 10812 318
328  bp 10826 317
329  bp 10849 316
330  bp 10820 315
331  bp 10819 314
332  bp 10825 313
333  bp 10810 312
334  bp 10858 311
