        1     6
   1   -1     2212    0    0    0    0  0.000000E+00  0.000000E+00  0.350000E+04  0.350000E+04  0.938270E+00  0.000000E+00  0.900000E+01
   2   -1     2212    0    0    0    0  0.000000E+00  0.000000E+00 -0.350000E+04  0.350000E+04  0.938270E+00  0.000000E+00  0.900000E+01
   3    1     2212    1    2    0    0  0.632082E-01 -0.247633E+00  0.349866E+04  0.349866E+04  0.938270E+00  0.000000E+00  0.900000E+01
   4    1     2212    1    2    0    0  0.168013E+00 -0.111151E+00 -0.349992E+04  0.349993E+04  0.938270E+00  0.000000E+00  0.900000E+01
   5    1      211    1    2    0    0 -0.295055E+00  0.264068E+00  0.107358E+01  0.115276E+01  0.139570E+00  0.000000E+00  0.900000E+01
   6    1     -211    1    2    0    0  0.638335E-01  0.947156E-01  0.195195E+00  0.265757E+00  0.139570E+00  0.000000E+00  0.900000E+01
        2     6
   1   -1     2212    0    0    0    0  0.000000E+00  0.000000E+00  0.350000E+04  0.350000E+04  0.938270E+00  0.000000E+00  0.900000E+01
   2   -1     2212    0    0    0    0  0.000000E+00  0.000000E+00 -0.350000E+04  0.350000E+04  0.938270E+00  0.000000E+00  0.900000E+01
   3    1     2212    1    2    0    0 -0.153190E+00  0.261644E+00  0.349927E+04  0.349927E+04  0.938270E+00  0.000000E+00  0.900000E+01
   4    1     2212    1    2    0    0 -0.232064E+00  0.218034E+00 -0.349967E+04  0.349967E+04  0.938270E+00  0.000000E+00  0.900000E+01
   5    1      211    1    2    0    0 -0.196635E+00 -0.173511E+00  0.209503E+00  0.363514E+00  0.139570E+00  0.000000E+00  0.900000E+01
   6    1     -211    1    2    0    0  0.581890E+00 -0.306167E+00  0.191043E+00  0.698793E+00  0.139570E+00  0.000000E+00  0.900000E+01
        3     6
   1   -1     2212    0    0    0    0  0.000000E+00  0.000000E+00  0.350000E+04  0.350000E+04  0.938270E+00  0.000000E+00  0.900000E+01
   2   -1     2212    0    0    0    0  0.000000E+00  0.000000E+00 -0.350000E+04  0.350000E+04  0.938270E+00  0.000000E+00  0.900000E+01
   3    1     2212    1    2    0    0 -0.851463E-01  0.296663E+00  0.349978E+04  0.349978E+04  0.938270E+00  0.000000E+00  0.900000E+01
   4    1     2212    1    2    0    0 -0.268310E-04  0.196081E-01 -0.349957E+04  0.349957E+04  0.938270E+00  0.000000E+00  0.900000E+01
   5    1      211    1    2    0    0  0.603657E-01 -0.209187E+00 -0.342008E+00  0.428780E+00  0.139570E+00  0.000000E+00  0.900000E+01
   6    1     -211    1    2    0    0  0.248075E-01 -0.107084E+00  0.128726E+00  0.219392E+00  0.139570E+00  0.000000E+00  0.900000E+01
        4     6
   1   -1     2212    0    0    0    0  0.000000E+00  0.000000E+00  0.350000E+04  0.350000E+04  0.938270E+00  0.000000E+00  0.900000E+01
   2   -1     2212    0    0    0    0  0.000000E+00  0.000000E+00 -0.350000E+04  0.350000E+04  0.938270E+00  0.000000E+00  0.900000E+01
   3    1     2212    1    2    0    0 -0.333078E-01 -0.320600E+00  0.349962E+04  0.349962E+04  0.938270E+00  0.000000E+00  0.900000E+01
   4    1     2212    1    2    0    0 -0.357080E-01 -0.237337E+00 -0.349973E+04  0.349973E+04  0.938270E+00  0.000000E+00  0.900000E+01
   5    1      211    1    2    0    0 -0.136087E-01  0.322329E+00  0.758161E-01  0.359596E+00  0.139570E+00  0.000000E+00  0.900000E+01
   6    1     -211    1    2    0    0  0.826246E-01  0.235607E+00  0.420658E-01  0.289114E+00  0.139570E+00  0.000000E+00  0.900000E+01
        5     6
   1   -1     2212    0    0    0    0  0.000000E+00  0.000000E+00  0.350000E+04  0.350000E+04  0.938270E+00  0.000000E+00  0.900000E+01
   2   -1     2212    0    0    0    0  0.000000E+00  0.000000E+00 -0.350000E+04  0.350000E+04  0.938270E+00  0.000000E+00  0.900000E+01
   3    1     2212    1    2    0    0 -0.399136E-01 -0.538468E-01  0.349908E+04  0.349908E+04  0.938270E+00  0.000000E+00  0.900000E+01
   4    1     2212    1    2    0    0  0.264442E+00  0.931885E-01 -0.349977E+04  0.349977E+04  0.938270E+00  0.000000E+00  0.900000E+01
   5    1      211    1    2    0    0 -0.543178E+00 -0.486939E-01  0.446918E+00  0.718770E+00  0.139570E+00  0.000000E+00  0.900000E+01
   6    1     -211    1    2    0    0  0.318650E+00  0.935221E-02  0.246090E+00  0.426222E+00  0.139570E+00  0.000000E+00  0.900000E+01
        6     6
   1   -1     2212    0    0    0    0  0.000000E+00  0.000000E+00  0.350000E+04  0.350000E+04  0.938270E+00  0.000000E+00  0.900000E+01
   2   -1     2212    0    0    0    0  0.000000E+00  0.000000E+00 -0.350000E+04  0.350000E+04  0.938270E+00  0.000000E+00  0.900000E+01
   3    1     2212    1    2    0    0  0.258003E+00 -0.178904E+00  0.349893E+04  0.349893E+04  0.938270E+00  0.000000E+00  0.900000E+01
   4    1     2212    1    2    0    0  0.764224E-01 -0.215368E+00 -0.349944E+04  0.349944E+04  0.938270E+00  0.000000E+00  0.900000E+01
   5    1      211    1    2    0    0  0.817153E-01 -0.505384E+00  0.662904E-01  0.534757E+00  0.139570E+00  0.000000E+00  0.900000E+01
   6    1     -211    1    2    0    0 -0.416141E+00  0.899656E+00  0.444480E+00  0.109526E+01  0.139570E+00  0.000000E+00  0.900000E+01
        7     6
   1   -1     2212    0    0    0    0  0.000000E+00  0.000000E+00  0.350000E+04  0.350000E+04  0.938270E+00  0.000000E+00  0.900000E+01
   2   -1     2212    0    0    0    0  0.000000E+00  0.000000E+00 -0.350000E+04  0.350000E+04  0.938270E+00  0.000000E+00  0.900000E+01
   3    1     2212    1    2    0    0  0.121463E+00  0.365383E+00  0.349980E+04  0.349980E+04  0.938270E+00  0.000000E+00  0.900000E+01
   4    1     2212    1    2    0    0  0.307752E+00  0.574567E+00 -0.349793E+04  0.349793E+04  0.938270E+00  0.000000E+00  0.900000E+01
   5    1      211    1    2    0    0 -0.330583E+00 -0.294145E+00 -0.131084E+01  0.139054E+01  0.139570E+00  0.000000E+00  0.900000E+01
   6    1     -211    1    2    0    0 -0.986329E-01 -0.645806E+00 -0.561457E+00  0.872644E+00  0.139570E+00  0.000000E+00  0.900000E+01
        8     6
   1   -1     2212    0    0    0    0  0.000000E+00  0.000000E+00  0.350000E+04  0.350000E+04  0.938270E+00  0.000000E+00  0.900000E+01
