0	0	0	0	0	0	0	0
1	67	0	2	10	2	0	256
2	67	1	1	3	5	0	640
3	67	2	3	15	2	1	2304
0	0	0	0	0	0	0	0
5	67	1	5	9	0	0	0
6	67	0	1	2	6	0	768
7	67	0	2	2	10	0	1281
0	0	0	0	0	0	0	0
9	67	0	2	15	2	1	2304
10	67	0	2	11	1	0	128
11	67	11	4	8	1	0	128
0	0	0	1	0	0	0	0
0	0	0	0	0	0	0	0
14	67	0	2	16	3	1	2432
15	67	6	5	18	8	1	3072
0	0	0	0	0	0	0	0
17	67	0	1	15	6	1	2816
18	67	2	1	10	1	1	2176
19	67	1	5	1	8	0	1024
20	67	1	4	1	8	0	1024
21	67	2	2	13	0	1	2048
0	0	0	0	0	0	0	0
23	67	5	6	14	4	1	2560
24	67	1	4	14	4	1	2560
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
28	67	0	1	0	8	0	1024
29	67	1	3	13	4	1	2560
30	67	0	1	10	1	1	2176
31	67	1	3	14	5	1	2688
32	67	11	5	10	0	1	2048
33	67	0	2	12	0	0	0
34	67	0	2	13	0	1	2048
35	67	0	2	14	1	1	2176
36	67	0	2	1	11	0	1408
37	67	5	5	13	3	1	2432
0	0	0	0	0	0	0	0
39	67	0	1	1	7	0	896
0	0	0	0	0	0	0	0
41	67	5	5	5	4	0	512
42	67	0	2	0	12	0	1536
43	67	1	3	15	6	1	2816
44	67	0	1	3	5	0	640
45	67	11	4	7	2	0	256
46	67	1	5	14	4	1	2560
47	67	8	4	9	0	0	0
0	0	0	0	0	0	0	0
49	67	0	4	14	4	1	2560
50	67	1	3	2	6	0	768
0	0	0	0	0	0	0	0
52	67	0	3	3	5	0	640
53	67	2	2	4	8	0	1024
54	67	2	1	1	7	0	896
55	67	1	6	2	7	0	896
56	67	6	5	12	2	1	2304
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
59	67	2	1	2	6	0	768
60	67	2	4	1	8	0	1024
61	67	0	5	17	7	1	2944
62	67	0	2	4	8	0	1024
63	67	2	2	14	1	1	2176
64	67	2	2	5	7	0	896
0	0	0	0	0	0	0	0
66	67	2	4	0	9	0	1152
67	67	0	3	6	2	0	256
0	0	0	0	0	0	0	0
69	67	2	3	1	7	0	896
70	67	11	6	13	3	1	2432
71	67	11	1	13	4	1	2560
72	67	11	4	11	1	1	2176
0	0	0	0	0	0	0	0
74	67	10	5	10	0	1	2048
0	0	0	0	0	0	0	0
76	67	1	3	1	7	0	896
77	67	11	6	15	5	1	2688
78	67	0	2	3	9	0	1152
79	67	2	1	0	8	0	1024
80	67	2	3	2	6	0	768
81	67	0	3	5	3	0	384
82	67	2	4	2	7	0	896
0	0	0	0	0	0	0	0
84	67	2	2	16	3	1	2432
0	0	0	0	0	0	0	0
86	67	0	3	2	6	0	768
0	0	0	0	0	0	0	0
88	67	0	1	14	5	1	2688
89	67	11	6	10	0	1	2048
0	0	0	0	0	0	0	0
91	67	11	6	6	3	0	384
92	67	1	1	5	3	0	384
93	67	1	6	11	2	1	2176
94	67	0	1	12	3	1	2432
95	67	5	6	15	5	1	2688
96	67	11	5	13	3	1	2432
97	67	2	1	11	2	1	2304
0	0	0	0	0	0	0	0
99	67	11	4	12	2	1	2304
100	67	2	2	6	6	0	768
101	67	5	3	16	7	1	2944
0	0	0	0	0	0	0	0
103	67	5	5	14	4	1	2560
104	67	10	4	6	3	0	384
105	67	6	6	0	9	0	1152
0	0	0	0	0	0	0	0
107	67	6	6	9	0	0	0
108	67	5	5	15	5	1	2688
0	0	0	0	0	0	0	0
110	67	6	5	16	6	1	2816
111	67	6	5	2	7	0	896
112	67	11	6	2	7	0	896
113	67	10	5	6	3	0	384
114	67	6	5	1	8	0	1024
115	67	6	5	11	1	1	2176
116	67	6	5	0	9	0	1152
117	67	5	4	19	9	1	3200
118	67	11	5	0	9	0	1152
0	0	0	0	0	0	0	0
