	0	0	0	12	1	0
	1	0	1	13	1	1
	2	0	2	14	1	2
	3	0	3	15	1	3
	4	0	4	16	1	4
	5	0	5	22	3	1
	6	0	8	17	2	0
	7	0	9	18	2	1
	8	0	10	19	2	2
	9	0	11	20	2	3
	10	0	12	21	2	4
	11	0	13	23	3	2
	12	1	0	2	4	0
	13	1	1	3	4	1
	14	1	2	4	4	2
	15	1	3	5	4	3
	16	1	4	6	4	4
	17	1	5	25	1	5
	18	1	8	7	5	0
	19	1	9	8	5	1
	20	1	10	9	5	2
	21	1	11	10	5	3
	22	1	12	11	5	4
	23	1	13	24	4	5
	24	2	0	36	1	0
	25	2	1	37	1	1
	26	2	2	38	1	2
	27	2	3	39	1	3
	28	2	4	40	1	4
	29	2	5	46	3	1
	30	2	6	41	2	0
	31	2	7	42	2	1
	32	2	8	43	2	2
	33	2	9	44	2	3
	34	2	10	45	2	4
	35	2	11	47	3	2
	36	3	0	26	4	0
	37	3	2	27	4	1
	38	3	3	28	4	2
	39	3	4	29	4	3
	40	3	5	30	4	4
	41	3	7	49	1	5
	42	3	8	31	5	0
	43	3	9	32	5	1
	44	3	10	33	5	2
	45	3	11	34	5	3
	46	3	12	35	5	4
	47	3	13	48	4	5
	0	16	0	92	-1	-1
	1	16	1	71	1	0
	2	16	2	93	-1	-1
	3	16	3	76	2	0
	4	16	4	90	-1	-1
	5	16	5	61	4	0
	6	16	6	91	-1	-1
	7	16	7	66	5	0
	8	16	8	81	3	1
	9	16	9	82	3	2
	10	16	10	87	-1	-1
	11	16	11	88	-1	-1
	12	16	12	85	-1	-1
	13	16	13	86	-1	-1
	14	16	14	94	-1	-1
	15	16	15	95	-1	-1
	16	16	16	97	-1	-1
	17	16	17	96	-1	-1
	18	16	18	98	-1	-1
	19	16	19	99	-1	-1
	20	16	20	100	-1	-1
	21	16	21	89	-1	-1
	22	16	22	101	-1	-1
	23	16	23	102	-1	-1
	24	-1	-1	-1	-1	-1
	25	-1	-1	-1	-1	-1
	26	-1	-1	-1	-1	-1
	27	-1	-1	-1	-1	-1
	28	-1	-1	-1	-1	-1
	29	-1	-1	-1	-1	-1
	30	-1	-1	-1	-1	-1
	31	-1	-1	-1	-1	-1
	0	4	0	92
	1	4	1	71
	2	4	2	93
	3	4	3	76
	4	4	4	90
	5	4	5	61
	6	4	6	91
	7	4	7	66
	8	4	8	81
	9	4	9	82
	10	4	10	87
	11	4	11	88
	12	4	12	85
	13	4	13	86
	14	4	14	94
	15	4	15	95
	16	4	16	135
	17	-1	-1	-1
	18	-1	-1	-1
	19	-1	-1	-1
	20	-1	-1	-1
	21	-1	-1	-1
	22	-1	-1	-1
	23	-1	-1	-1
	24	-1	-1	-1
	25	-1	-1	-1
	26	-1	-1	-1
	27	-1	-1	-1
	28	-1	-1	-1
	29	-1	-1	-1
	30	-1	-1	-1
	31	-1	-1	-1
	0	1	24
	1	1	24
	2	1	24
	3	1	24
	4	6	17
	5	1	8
	6	6	4
	16	2	24
	30	3	9
	31	4	2
