    .9  6.7832117 -1.1316569   .578321E+01
   1.0  6.1105661 -1.0184911   .511057E+01
   1.1  5.5561194  -.9259011   .455612E+01
   1.2  5.1016421  -.8487425   .410164E+01
   1.3  4.7288451  -.7834547   .372885E+01
   1.4  4.3950601  -.7274936   .339506E+01
   1.5  4.1212716  -.6789940   .312127E+01
   1.6  3.8805509  -.6365569   .288055E+01
   1.7  3.6674011  -.5991124   .266740E+01
   1.8  3.4842517  -.5658283   .248425E+01
   1.9  3.3274055  -.5360479   .232741E+01
   2.0  3.1762090  -.5092455   .217621E+01
   2.5  2.6459448  -.4073964   .164594E+01
   3.0  2.3040819  -.3394970   .130408E+01
   3.5  2.0732524  -.2909974   .107325E+01
   4.0  1.9121064  -.2546228   .912106E+00
   4.5  1.7878320  -.2263314   .787832E+00
   5.0  1.6900235  -.2036982   .690024E+00
   5.5  1.6098349  -.1851802   .609835E+00
   6.0  1.5518236  -.1697485   .551824E+00
   6.5  1.4958603  -.1566909   .495860E+00
   7.0  1.4542278  -.1454987   .454228E+00
   7.5  1.4179788  -.1357988   .417979E+00
   8.0  1.3833063  -.1273114   .383306E+00
   8.5  1.3553865  -.1198225   .355386E+00
   9.0  1.3321880  -.1131657   .332188E+00
   9.5  1.3118601  -.1072096   .311860E+00
  10.0  1.2908304  -.1018491   .290830E+00
  10.5  1.2722042  -.0969992   .272204E+00
  11.0  1.2561425  -.0925901   .256142E+00
  11.5  1.2420646  -.0885644   .242065E+00
  12.0  1.2293742  -.0848743   .229374E+00
  12.5  1.2175398  -.0814793   .217540E+00
  13.0  1.2079890  -.0783455   .207989E+00
  13.5  1.1989075  -.0754438   .198907E+00
  14.0  1.1895815  -.0727494   .189582E+00
  14.5  1.1804549  -.0702408   .180455E+00
  15.0  1.1717033  -.0678994   .171703E+00
  15.5  1.1631035  -.0657091   .163103E+00
  16.0  1.1564049  -.0636557   .156405E+00
  16.5  1.1502850  -.0617267   .150285E+00
  17.0  1.1445123  -.0599112   .144512E+00
  17.5  1.1389624  -.0581995   .138962E+00
  18.0  1.1335380  -.0565828   .133538E+00
  18.5  1.1286426  -.0550536   .128643E+00
  19.0  1.1239567  -.0536048   .123957E+00
  19.5  1.1192422  -.0522303   .119242E+00
  20.0  1.1148682  -.0509246   .114868E+00
  22.0  1.0994276  -.0462951   .994276E-01
  24.0  1.0885907  -.0424371   .885907E-01
  26.0  1.0791661  -.0391727   .791661E-01
  28.0  1.0703377  -.0363747   .703377E-01
  30.0  1.0621536  -.0339497   .621536E-01
  32.0  1.0552626  -.0318278   .552626E-01
  34.0  1.0490063  -.0299556   .490063E-01
  36.0  1.0440910  -.0282914   .440910E-01
  38.0  1.0405818  -.0268024   .405818E-01
  40.0  1.0373856  -.0254623   .373856E-01
  42.0  1.0344969  -.0242498   .344969E-01
