# Optical properties of quartz Spectrasil2000
# Number of elements: 
880
# PhotonEnergy [eV]   AbsorptionLength [cm]   RefractionIndex
            1.33743                 2469.52           1.45137
            1.33599                  2049.9           1.45136
            1.33455                 1772.21           1.45134
            1.33312                  1555.4           1.45133
            1.33169                 1311.39           1.45132
            1.33026                 1120.52            1.4513
            1.32883                 941.607           1.45129
            1.32741                 808.477           1.45128
            1.32599                 705.315           1.45126
            1.32457                  621.13           1.45125
            1.32316                 553.494           1.45124
            1.32175                 491.579           1.45122
            1.32034                 443.293           1.45121
            1.31894                 402.916            1.4512
            1.31753                 374.608           1.45118
            1.31614                 354.774           1.45117
            1.31474                 338.753           1.45116
            1.31335                 328.772           1.45114
            1.31196                 323.879           1.45113
            1.31057                 320.247           1.45112
            1.30919                 320.817            1.4511
            1.30781                 326.177           1.45109
            1.30643                 338.073           1.45108
            1.30505                 349.772           1.45106
            1.30368                 364.707           1.45105
            1.30231                 380.157           1.45104
            1.30094                 400.311           1.45102
            1.29958                 421.134           1.45101
            1.29822                 444.765             1.451
            1.29686                 472.131           1.45098
            1.29551                 503.829           1.45097
            1.29415                 535.834           1.45096
            1.29281                 572.549           1.45094
            1.29146                 608.727           1.45093
            1.29011                 637.656           1.45092
            1.28877                 684.809            1.4509
            1.28744                 724.415           1.45089
             1.2861                 778.062           1.45088
            1.28477                 817.429           1.45086
            1.28344                 852.745           1.45085
            1.28211                 894.071           1.45084
            1.28079                 958.358           1.45082
            1.27946                 996.898           1.45081
            1.27814                 1044.86            1.4508
            1.27683                 1089.01           1.45079
            1.27551                 1170.79           1.45077
             1.2742                 1189.45           1.45076
             1.2729                 1232.36           1.45075
            1.27159                 1314.28           1.45073
            1.27029                 1384.31           1.45072
            1.26899                 1424.72           1.45071
            1.26769                 1498.78            1.4507
            1.26639                 1588.92           1.45068
             1.2651                 1640.42           1.45067
            1.26381                 1711.03           1.45066
            1.26253                 1721.89           1.45064
            1.26124                 1846.23           1.45063
            1.25996                 1936.23           1.45062
            1.25868                 2019.61           1.45061
             1.2574                 2011.96           1.45059
            1.25613                 2037.05           1.45058
            1.25486                 2145.82           1.45057
            1.25359                 2248.48           1.45055
            1.25232                 2472.61           1.45054
            1.25106                 2479.35           1.45053
             1.2498                 2314.62           1.45051
            1.24854                 2507.31            1.4505
            1.24728                 2737.22           1.45049
            1.24603                 2699.84           1.45048
            1.24478                  2574.7           1.45046
            1.24353                 2820.29           1.45045
            1.24228                 3187.97           1.45044
            1.24104                 3421.18           1.45043
