# Optical properties of quartz Spectrasil2000
# Number of elements: 
880
# PhotonEnergy [eV]   AbsorptionLength [cm]   RefractionIndex
            3.66805                 7232.72           1.47912
            3.65723                 7442.32           1.47893
            3.64647                 7097.15           1.47874
            3.63578                 8731.97           1.47855
            3.62515                 8527.88           1.47836
            3.61458                 8582.41           1.47817
            3.60407                 7676.33           1.47798
            3.59362                 7994.28            1.4778
            3.58324                 7586.28           1.47761
            3.57291                 7569.08           1.47743
            3.56264                 7598.74           1.47724
            3.55244                 7992.58           1.47706
            3.54229                 7473.83           1.47688
            3.53219                 8199.58           1.47672
            3.52216                  8334.9           1.47657
            3.51218                 8608.07           1.47641
            3.50226                 7160.54           1.47626
            3.49239                 8059.54            1.4761
            3.48258                 8789.07           1.47595
            3.47283                 8982.26            1.4758
            3.46313                 7968.34           1.47564
            3.45348                 8441.16           1.47549
            3.44389                 8845.76           1.47534
            3.43435                  9802.3           1.47519
            3.42486                 9144.58           1.47505
            3.41543                 10994.1            1.4749
            3.40604                 10168.6           1.47475
            3.39671                 11697.1           1.47461
            3.38743                 11690.4           1.47446
             3.3782                 12880.7           1.47432
            3.36902                 11113.4           1.47417
            3.35989                 13499.1           1.47403
            3.35081                   11883           1.47389
            3.34178                 15236.9           1.47375
             3.3328                 14939.7           1.47361
            3.32386                 19566.8           1.47347
            3.31497                 15518.7           1.47333
            3.30613                 15601.3           1.47319
            3.29734                 23646.7           1.47305
            3.28859                 13345.5           1.47292
            3.27989                 12999.2           1.47278
            3.27124                 9857.02           1.47264
            3.26263                 10259.3           1.47251
            3.25407                 11559.7           1.47238
            3.24555                 9025.44           1.47224
            3.23708                 10101.9           1.47211
            3.22865                 11265.8           1.47198
            3.22026                 10754.4           1.47185
            3.21192                   11085           1.47173
            3.20362                 10488.9           1.47162
            3.19536                 10715.1            1.4715
            3.18715                 14356.1           1.47138
            3.17897                 12271.8           1.47127
            3.17084                 9566.08           1.47116
            3.16276                 11731.5           1.47104
            3.15471                 9225.32           1.47093
             3.1467                 10901.9           1.47082
            3.13873                 9235.51           1.47071
            3.13081                   10448           1.47059
            3.12292                 9673.65           1.47048
            3.11508                 9966.17           1.47037
            3.10727                 10548.6           1.47026
             3.0995                 10195.6           1.47016
            3.09177                 11472.1           1.47005
            3.08408                 11229.7           1.46994
            3.07643                 13581.1           1.46983
            3.06881                 12890.3           1.46973
            3.06123                 10626.4           1.46962
            3.05369                 10013.2           1.46951
            3.04619                 10609.6           1.46941
            3.03873                   12705            1.4693
             3.0313                 12075.4            1.4692
             3.0239                 11856.7            1.4691
            3.01655                 14787.8           1.46899
            3.00922                 10463.9           1.46889
            3.00194                 13338.8           1.46879
            2.99469                   11543           1.46869
            2.98747                 11843.6           1.46859
            2.98029                   12964           1.46848
            2.97314                   10674           1.46838
            2.96603                 10685.8           1.46828
            2.95895                  9915.4           1.46819
             2.9519                 11385.7           1.46809
            2.94489                 11299.8             1.468
            2.93791                 11366.8           1.46791
            2.93097                 9654.91           1.46782
            2.92406                  9336.2           1.46773
            2.91718                 12219.4           1.46764
            2.91033                 11584.1           1.46756
            2.90351                 10583.9           1.46747
            2.89673                 10839.7           1.46738
            2.88998                 11209.4            1.4673
            2.88326                 10639.5           1.46721
            2.87657                 11182.2           1.46713
            2.86991                 10560.2           1.46704
            2.86328                 11625.7           1.46696
            2.85668                 8793.37           1.46687
            2.85011                 11397.6           1.46679
            2.84358                 11590.7            1.4667
            2.83707                 10386.4           1.46662
            2.83059                 9402.49           1.46654
            2.82415                 9084.49           1.46646
            2.81773                 9656.51           1.46637
            2.81134                 11918.4           1.46629
            2.80498                 9828.85           1.46621
            2.79865                 8087.54           1.46613
            2.79234                 9232.67           1.46605
            2.78607                 8673.88           1.46597
            2.77982                 8776.55           1.46589
             2.7736                 8754.93           1.46581
            2.76741                 9258.11           1.46573
            2.76125                 8213.58           1.46565
            2.75511                 8744.62           1.46557
              2.749                 8293.76            1.4655
            2.74292                 9542.06           1.46542
            2.73687                  8572.2           1.46534
            2.73084                 7602.15           1.46526
            2.72484                 8104.51           1.46519
            2.71886                 7955.46           1.46512
            2.71291                 7990.88           1.46505
            2.70699                 7488.85           1.46498
            2.70109                 7177.32           1.46491
            2.69522                 7745.01           1.46484
            2.68937                 8341.04           1.46477
            2.68355                 7847.76            1.4647
            2.67775                 7346.41           1.46463
            2.67198                 7782.03           1.46456
            2.66624                 7055.96            1.4645
            2.66052                 6934.87           1.46443
            2.65482                 6766.29           1.46436
            2.64915                 7168.11            1.4643
             2.6435                 7336.66           1.46423
            2.63787                  6967.7           1.46416
            2.63227                  7790.4            1.4641
            2.62669                 6637.03           1.46403
            2.62114                 6769.26           1.46396
            2.61561                 6934.71            1.4639
            2.61011                 7093.41           1.46383
