1	4	7  
2	3	7 
3	2	7 
4	1	7 
5	0	7 
6	4	6 
7	3	6 
8	2	6 
9	1	6 
10	0	6 
11	5	5 
12	4	5 
13	3	5 
14	2	5 
15	1	5 
16	0	5 
17	6	4 
18	5	4 
19	4	4 
20	3	4 
21	2	4 
22	1	4 
23	0	4 
24	7	3 
25	6	3 
26	5	3 
27	4	3 
28	3	3
29	2	3
30	1	3
31	0	3
32	9	2
33	8	2
34	7	2
35	6	2
36	5	2
37	4	2
38	3	2
39	2	2
40	1	2
41	0	2
42	9	1
43	8	1
44	7	1
45	6	1
46	5	1
47	4	1
48	3	1
49	2	1
50	1	1
51	0	1
52	10	0
53	9       0
54	8	0
55	7	0 
56	6	0
57	5	0
58	4	0
59	3 	0
60	2 	0
61	1 	0
62	0 	0
