1	3	5
2	2	5
3	1	5
4	5	4
5	4	4
6	3	4
7	2	4
8	1	4
9 	7	3
10	6	3
11	5	3
12	4	3
13	3	3
14	2	3
15	1	3
16	0	3
17	8	2
18	7	2
19	6	2
20	5	2
21	4	2
22	3	2
23	2	2
24	1	2
25	0	2
26	9	1
27	8	1
28	7	1
29	6	1
30	5	1
31	4	1
32	3	1
33	2	1
34	1	1
35	0	1
36	10	0
37	9 	0
38	8 	0
39	7 	0
40	6 	0
41	5 	0
42	4 	0
43	3 	0
44	2 	0
45	1 	0
46	0 	0
