,phs_col:phs_col_dp.State_phos_module_4.Matrix_t_phos_module_4.Matrix_t_phos_module_4_3,phs_col:phs_col_dp.State_phos_module_4.Matrix_t_phos_module_4.Matrix_t_phos_module_4_17,phs_col:phs_col_dp.State_phos_module_4.Matrix_t_phos_module_4.Matrix_t_phos_module_4_18,
,Matrix_temperature_module_4_3,Matrix_temperature_module_4_17,Matrix_temperature_module_4_18,
2012/03/24 06:34:30.545,,-24.917847637228,,
2012/03/24 06:36:56.231,,,-24.985387166142,
2012/03/24 06:38:58.293,-24.918256324178,,,
2012/03/24 07:34:43.506,,-24.913048667273,,
2012/03/24 07:37:02.083,,,-24.981193486347,
2012/03/24 07:39:04.145,-24.910846580441,,,
2012/03/24 08:35:06.967,,-24.897264114284,,
2012/03/24 08:37:29.591,,,-24.972183044678,
2012/03/24 08:39:04.309,-24.910705447374,,,
2012/03/24 09:35:07.678,,-24.904519664132,,
2012/03/24 09:37:42.771,,,-24.972923554,
2012/03/24 09:39:14.427,-24.910052482528,,,
2012/03/24 10:35:16.921,,-24.913019761821,,
2012/03/24 10:37:47.529,,,-24.961768740691,
2012/03/24 10:39:32.419,-24.910735436565,,,
2012/03/24 11:35:44.101,,-24.885002619308,,
2012/03/24 11:37:48.460,,,-24.961795398301,
2012/03/24 11:39:50.740,-24.910052482528,,,
2012/03/24 12:35:54.765,,-24.897216064895,,
2012/03/24 12:38:12.358,,,-24.969146341015,
2012/03/24 12:39:51.014,-24.91823118028,,,
2012/03/24 13:36:14.617,,-24.897392018844,,
2012/03/24 13:38:15.585,,,-24.970012484239,
2012/03/24 13:39:59.600,-24.914053830295,,,
2012/03/24 14:36:19.968,,-24.904847503418,,
2012/03/24 14:38:33.405,,,-24.972880162079,
2012/03/24 14:40:08.232,-24.907481951134,,,
2012/03/24 15:36:24.179,,-24.904746026566,,
2012/03/24 15:38:33.460,,,-24.961769573741,
2012/03/24 15:40:35.631,-24.902501316598,,,
2012/03/24 16:36:29.156,,-24.900645436518,,
2012/03/24 16:38:33.515,,,-24.969213877164,
2012/03/24 16:40:44.764,-24.909906069515,,,
2012/03/24 17:36:29.211,,-24.905635840206,,
2012/03/24 17:38:52.054,,,-24.979970316192,
2012/03/24 17:40:45.147,-24.902400275826,,,
2012/03/24 18:36:30.142,,-24.898089794051,,
2012/03/24 18:39:00.859,,,-24.992868857277,
2012/03/24 18:41:01.171,-24.918256324178,,,
2012/03/24 19:36:31.837,,-24.913098944309,,
2012/03/24 19:39:01.680,,,-24.97338007591,
2012/03/24 19:41:56.898,-24.915834311691,,,
2012/03/24 20:36:39.658,,-24.908649086371,,
2012/03/24 20:39:10.485,,,-24.977484369456,
2012/03/24 20:41:57.500,-24.910801158701,,,
2012/03/24 21:36:58.635,,-24.904846580901,,
2012/03/24 21:39:16.009,,,-24.981232634231,
2012/03/24 21:42:04.227,-24.918256324178,,,
2012/03/24 22:37:15.315,,-24.900670805764,,
