    .9  6.2495494 -1.1316569   .524955E+01
   1.0  5.6275444 -1.0184911   .462754E+01
   1.1  5.1210909  -.9259011   .412109E+01
   1.2  4.7016978  -.8487425   .370170E+01
   1.3  4.3537674  -.7834547   .335377E+01
   1.4  4.0524879  -.7274936   .305249E+01
   1.5  3.7980638  -.6789940   .279806E+01
   1.6  3.5761476  -.6365569   .257615E+01
   1.7  3.3819301  -.5991124   .238193E+01
   1.8  3.2126260  -.5658283   .221263E+01
   1.9  3.0637310  -.5360479   .206373E+01
   2.0  2.9282858  -.5092455   .192829E+01
   2.5  2.4370999  -.4073964   .143710E+01
   3.0  2.1253693  -.3394970   .112537E+01
   3.5  1.9134997  -.2909974   .913500E+00
   4.0  1.7627873  -.2546228   .762787E+00
   4.5  1.6487057  -.2263314   .648706E+00
   5.0  1.5598893  -.2036982   .559889E+00
   5.5  1.4887558  -.1851802   .488756E+00
   6.0  1.4328592  -.1697485   .432859E+00
   6.5  1.3842264  -.1566909   .384226E+00
   7.0  1.3453374  -.1454987   .345337E+00
   7.5  1.3117952  -.1357988   .311795E+00
   8.0  1.2822607  -.1273114   .282261E+00
   8.5  1.2572515  -.1198225   .257252E+00
   9.0  1.2355344  -.1131657   .235534E+00
   9.5  1.2166466  -.1072096   .216647E+00
  10.0  1.1987591  -.1018491   .198759E+00
  10.5  1.1833911  -.0969992   .183391E+00
  11.0  1.1696334  -.0925901   .169633E+00
  11.5  1.1573753  -.0885644   .157375E+00
  12.0  1.1463565  -.0848743   .146356E+00
  12.5  1.1360512  -.0814793   .136051E+00
  13.0  1.1274860  -.0783455   .127486E+00
  13.5  1.1195526  -.0754438   .119553E+00
  14.0  1.1117744  -.0727494   .111774E+00
  14.5  1.1047229  -.0702408   .104723E+00
  15.0  1.0981473  -.0678994   .981473E-01
  15.5  1.0917964  -.0657091   .917964E-01
  16.0  1.0865951  -.0636557   .865951E-01
  16.5  1.0818563  -.0617267   .818563E-01
  17.0  1.0775609  -.0599112   .775609E-01
  17.5  1.0736095  -.0581995   .736095E-01
  18.0  1.0699580  -.0565828   .699580E-01
  18.5  1.0668931  -.0550536   .668931E-01
  19.0  1.0637350  -.0536048   .637350E-01
  19.5  1.0604217  -.0522303   .604217E-01
  20.0  1.0573883  -.0509246   .573883E-01
  22.0  1.0470135  -.0462951   .470135E-01
  24.0  1.0398237  -.0424371   .398237E-01
  26.0  1.0341264  -.0391727   .341264E-01
  28.0  1.0292728  -.0363747   .292728E-01
  30.0  1.0250802  -.0339497   .250802E-01
  32.0  1.0218179  -.0318278   .218179E-01
  34.0  1.0191730  -.0299556   .191730E-01
  36.0  1.0175055  -.0282914   .175055E-01
  38.0  1.0159765  -.0268024   .159765E-01
  40.0  1.0144980  -.0254623   .144980E-01
  42.0  1.0131806  -.0242498   .131806E-01
  44.0  1.0121014  -.0231475   .121014E-01
  46.0  1.0111245  -.0221411   .111245E-01
  48.0  1.0103003  -.0212186   .103003E-01
  50.0  1.0095189  -.0203698   .951886E-02
  52.0  1.0088065  -.0195864   .880647E-02
  54.0  1.0081763  -.0188609   .817633E-02
  56.0  1.0075525  -.0181873   .755250E-02
  58.0  1.0069938  -.0175602   .699377E-02
  60.0  1.0064970  -.0169749   .649703E-02
  62.0  1.0060643  -.0164273   .606430E-02
  64.0  1.0055929  -.0159139   .559294E-02
  66.0  1.0052457  -.0154317   .524569E-02
  68.0  1.0049011  -.0149778   .490105E-02
  70.0  1.0045326  -.0145499   .453258E-02
  72.0  1.0043347  -.0141457   .433469E-02
  74.0  1.0040251  -.0137634   .402510E-02
  76.0  1.0037770  -.0134012   .377703E-02
  78.0  1.0035294  -.0130576   .352943E-02
  80.0  1.0032811  -.0127311   .328112E-02
  82.0  1.0030285  -.0124206   .302851E-02
  84.0  1.0027984  -.0121249   .279844E-02
  86.0  1.0026129  -.0118429   .261295E-02
  88.0  1.0024201  -.0115738   .242007E-02
  90.0  1.0022247  -.0113166   .222468E-02
  92.0  1.0020593  -.0110706   .205934E-02
  94.0  1.0018966  -.0108350   .189662E-02
  96.0  1.0017405  -.0106093   .174046E-02
  98.0  1.0015849  -.0103928   .158489E-02
 100.0  1.0014641  -.0101849   .146413E-02
 102.0  1.0013089  -.0099852   .130892E-02
 104.0  1.0012120  -.0097932   .121200E-02
 106.0  1.0011622  -.0096084   .116217E-02
 108.0  1.0011179  -.0094305   .111794E-02
 110.0  1.0010791  -.0092590   .107908E-02
 112.0  1.0010254  -.0090937   .102544E-02
 114.0  1.0010016  -.0089341   .100160E-02
 116.0  1.0009592  -.0087801   .959158E-03
 118.0  1.0009115  -.0086313   .911474E-03
 120.0  1.0008804  -.0084874   .880361E-03
 122.0  1.0008411  -.0083483   .841141E-03
 124.0  1.0008107  -.0082136   .810742E-03
 126.0  1.0007914  -.0080833   .791430E-03
 128.0  1.0007646  -.0079570   .764608E-03
 130.0  1.0007366  -.0078345   .736594E-03
 132.0  1.0007013  -.0077158   .701308E-03
 134.0  1.0006717  -.0076007   .671744E-03
 136.0  1.0006572  -.0074889   .657201E-03
 138.0  1.0006341  -.0073804   .634074E-03
 140.0  1.0006095  -.0072749   .609517E-03
 142.0  1.0005925  -.0071725   .592470E-03
 144.0  1.0005810  -.0070729   .581026E-03
 146.0  1.0005699  -.0069760   .569940E-03
 148.0  1.0005424  -.0068817   .542402E-03
 150.0  1.0005214  -.0067899   .521421E-03
 152.0  1.0004997  -.0067006   .499725E-03
 154.0  1.0004804  -.0066136   .480413E-03
 156.0  1.0004733  -.0065288   .473261E-03
