H  3     2.E+05
Be  7     4.E+05
Be  10     9.E+03
C  11     4.E+05
C  14     2.E+04
F  18     2.E+05
Na  22     3.E+03
Na  24     2.E+04
Mg  28      5.E+03
Al  28   5.E+03
Al  26     3.E+03
Si  31     6.E+04
Si  32     2.E+04
P  32     4.E+03
P  33     4.E+04
S  35      1.E+04
Cl  36     1.E+04
Cl  38     8.E+04
Cl  39     1.E+05
K  40     2.E+03
K  42     2.E+04
K  43     4.E+04
K  44     1.E+05
K  45     2.E+05
Ca  41     3.E+04
Ca  45     1.E+04
Ca  47     6.E+03
Sc  43     5.E+04
Sc  44     3.E+04
Sc -44      4.E+03
Sc  46     7.E+03
Sc  47     2.E+04
Sc  48     6.E+03
Sc  49     1.E+05
Ti  44     2.E+03
Ti  45     7.E+04
V  47     2.E+05
V  48     5.E+03
V  49     6.E+05
Cr  48     5.E+04
Cr  49     2.E+05
Cr  51     3.E+05
Mn  51     1.E+05
Mn  52     6.E+03
Mn -52      1.E+05
Mn  53     3.E+05
Mn  54     1.E+04
Mn  56     4.E+04
Fe  52     7.E+03
Fe  55     3.E+04
Fe  59     6.E+03
Fe  60     9.E+01
Co  55     9.E+03
Co  56     4.E+03
Co  57     5.E+04
Co  58     1.E+04
Co -58      4.E+05
Co  60     1.E+03
Co -60      6.E+06
Co  61     1.E+05
Co -62      2.E+05
Ni  56     1.E+04
Ni  57     1.E+04
Ni  59     2.E+05
Ni  63     7.E+04
Ni  65     6.E+04
Ni  66   3.E+03
Cu  60     1.E+05
Cu  61     8.E+04
Cu  62     1.E+04
Cu  64     8.E+04
Cu  66     3.E+03
Cu  67     3.E+04
Zn  62   1.E+04
Zn  63     1.E+05
Zn  65     3.E+03
Zn  69     3.E+05
Zn -69      3.E+04
Zn -71      4.E+04
Zn  72     7.E+03
Ga  65     3.E+05
Ga  66     8.E+03
Ga  67     5.E+04
Ga  68     1.E+05
Ga  70     3.E+05
Ga  72     9.E+03
Ga  73     4.E+04
Ge  66     1.E+05
Ge  67     2.E+05
Ge  68     8.E+03
Ge  69     4.E+04
Ge  71     8.E+05
Ge  75     2.E+05
Ge  77     3.E+04
Ge  78     8.E+04
As  69     2.E+05
As  70     8.E+04
As  71     2.E+04
As  72     6.E+03
As  73     4.E+04
As  74     8.E+03
As  76     6.E+03
As  77     3.E+04
As  78     5.E+04
Se  70     7.E+04
Se  73     3.E+04
Se -73      2.E+05
Se  75     4.E+03
Se  79     3.E+03
Se  81     4.E+05
Se -81      2.E+05
Se  83     2.E+05
Br  74     1.E+05
Br -74      7.E+04
Br  75     1.E+05
Br  76     2.E+04
