W  185   1.00E+04        0
W  187   1.00E+02        0
Re  186   1.00E+03       0
Re  188   1.00E+02       0
Os  185   10             0
Os  191   1.00E+02       0
Os  -191   1.00E+03      0
Os  193   1.00E+02       0
Ir  190   10             0
Ir  192   10             0
Ir  194   1.00E+02       0
Pt  191   1.00E+02       0
Pt  -193   1.00E+03      0
Pt  197   1.00E+03       0
Pt  -197   1.00E+02      0
Au  198   1.00E+02       0
Au  199   1.00E+02       0
Hg  197   1.00E+02       0
Hg  -197   1.00E+02      0
Hg  203   1.00E+02       0
Tl  200   10             0
Tl  201   1.00E+02       0
Tl  202   1.00E+02       0
Tl  204   1.00E+04       0
Pb  203   1.00E+02       0
Pb  210     10           2
Pb  212     10           2
Bi  206   10             0
Bi  207   10             0
Bi  210   1.00E+03       0
Bi  212     10           2
Po  203   10             0
Po  205   10             0
Po  207   10             0
Po  210   10             0
At  211   1.00E+03       0
Rn  220     1.00E+04     2
Rn  222     10           2
Ra  223     1.00E+02     2
Ra  224     10           2
Ra  225   1.00E+02       0
Ra  226     10           2
Ra  227   1.00E+02       0
Ra  228     10           2
Ac  228   10             0
Th  226     1.00E+03     2
Th  227   10             0
Th  228     1            2
Th  229     1            2
Th  230   1              0
Th  231   1.00E+03       0
Th  232       1          3
Th  234     1.00E+03     2
Pa  230   10             0
Pa  231   1              0
Pa  233   1.00E+02       0
U  230     10            2
U  231   1.00E+02        0
U  232     1             2
U  233   10              0
U  234   10              0
U  235     10            2
U  236   10              0
U  237   1.00E+02        0
U  238       1           3
U  239   1.00E+02        0
U  240     10            2
Np  237     1            2
Np  239   1.00E+02       0
Np  240   10             0
Pu  234   1.00E+02       0
Pu  235   1.00E+02       0
Pu  236   10             0
Pu  237   1.00E+03       0
Pu  238   1              0
Pu  239   1              0
Pu  240   1              0
Pu  241   1.00E+02       0
Pu  242   1              0
Pu  243   1.00E+03       0
Pu  244   1              0
Am  241   1              0
Am  242   1.00E+03       0
Am  -242     1           2
Am  243     1            2
Cm  242   1.00E+02       0
Cm  243   1              0
Cm  244   10             0
Cm  245   1              0
Cm  246   1              0
Cm  247   1              0
Cm  248   1              0
Bk  249   1.00E+03       0
Cf  246   1.00E+03       0
Cf  248   10             0
Cf  249   1              0
Cf  250   10             0
Cf  251   1              0
Cf  252   10             0
Cf  253   1.00E+02       0
Cf  254   1              0
Es  253   1.00E+02       0
Es  254   10             0
Es  -254   1.00E+02      0
Fm  254   1.00E+04       0
Fm  255   1.00E+03       0
